,T. sp. A48,T. SL0000003
S41A,6.0,5.0
C01A,9.0,6.0
C19,35.0,29.0
M24B,6.0,3.0
S33,41.0,31.0
S08A,12.0,11.0
S09X,17.0,14.0
C83,2.0,2.0
T01A,15.0,16.0
M20F,2.0,3.0
M100,2.0,1.0
S01D,3.0,3.0
M41,10.0,10.0
C78B,1.0,1.0
S10,5.0,5.0
C26,11.0,11.0
C15,1.0,0.0
S09C,6.0,6.0
M67A,8.0,6.0
S54,17.0,12.0
S01C,11.0,9.0
S26A,3.0,2.0
C121,1.0,1.0
M01,4.0,5.0
C14B,3.0,3.0
C56,5.0,4.0
M50B,4.0,4.0
T01B,1.0,1.0
M16B,6.0,7.0
S28,5.0,6.0
M14B,7.0,6.0
M67X,2.0,2.0
M16C,1.0,1.0
M20D,4.0,3.0
M67C,1.0,1.0
I51,1.0,1.0
M24X,2.0,2.0
S09A,4.0,4.0
C85,3.0,1.0
C48,11.0,5.0
M20A,3.0,1.0
M24A,3.0,4.0
S09D,1.0,1.0
I13,1.0,1.0
M79,6.0,3.0
C13,4.0,2.0
M102,4.0,2.0
A28A,1.0,1.0
A01B,1.0,1.0
M48C,3.0,2.0
C44,6.0,5.0
C97,2.0,2.0
C65,4.0,4.0
S12,2.0,3.0
M38,11.0,3.0
A01A,1.0,1.0
S14,8.0,8.0
S59,1.0,1.0
A22A,1.0,1.0
A22B,3.0,3.0
M48A,1.0,1.0
C115,1.0,1.0
T02,4.0,1.0
M03A,3.0,2.0
C86,2.0,1.0
M28X,3.0,2.0
I87,1.0,1.0
S16,3.0,3.0
T05,1.0,0.0
M48B,1.0,1.0
C02A,2.0,1.0
M16A,3.0,2.0
M76,1.0,1.0
C54,2.0,1.0
M20X,3.0,1.0
C50,1.0,1.0
M17,1.0,1.0
S77,1.0,0.0
S49A,1.0,2.0
C85A,2.0,1.0
C12,2.0,1.0
M20C,1.0,1.0
C78A,1.0,1.0
S60,1.0,0.0
M18,1.0,1.0
M32,1.0,1.0
S49B,1.0,2.0
M80,2.0,2.0
T03,2.0,4.0
I25B,1.0,1.0
M14D,1.0,0.0
S26B,1.0,0.0
C85B,2.0,1.0
S01A,0.0,1.0
