Specimen Label 	OTU	ITS
A01_LEC_garov_usa_ID_saxi_100                	A01	KR912355
A01_LEC_garov_usa_UT_saxi_199                	A01	KR912359
A01_RH_port_usa_UT_saxi_637                  	A01	KR912367
A01_XA_caB2_canada_BC_terr_924               	A01	KR912377
A01_XA_chC1_usa_ND_terr_536                  	A01	KR912394
A02_RH_chrysB_usa_CO_saxi_8624               	A02	KR912575
A02_RH_hayd_usa_ID_terr_8677                 	A02	KR912585
A02_RH_pelt4_iran_AZARBAIJAN_saxi_5183       	A02	KR912640
A02_RH_peltQ_kyrgy_JAYYL_saxi_6018           	A02	KR912646
A02_RH_poly_usa_ID_saxi_8935W                	A02	KR912659
A03_52195L1104_Trebouxia_Tephro_EU_Spain_ITSp	A03	KJ754257
A03_ME_fulig_sweden_gotland_cort_3931        	A03	KR912768
A03_ME_glabtula_morocco_laracj_cort_4085     	A03	KR912778
A03_ME_glatula_canada_BC_cort_4685           	A03	KR912802
A03_RH_maheui_spain_EXTRE_saxi_6771          	A03	KR912827
A04_A10_XA_cuF1_usa_CA_saxi_575              	A04	KR913187
A04_A10_XA_meA2_usa_CA_saxi_1028             	A04	KR913190
A04_A10_XA_plF2_usa_CA_saxi_576              	A04	KR913192
A04_XA_chE2_usa_UT_terr_027                  	A04	KR912836
A04_XA_stenoBM_kazak_Kark_saxi_5041          	A04	KR912904
A05_ORO_atran_mexico_OAX_cort_4036           	A05	KR912909
A05_ORO_bicolor_mexico_OAX_cort_4042         	A05	KR912912
A05_ORO_caespit_mexico_OAX_cort_4047         	A05	KR912914
A05_ORO_colibor_colombia_narin_cort_8723     	A05	KR912930
A05_ORO_colibor_costarica_unk_cort_6715      	A05	KR912932
A06_XA_coC6_usa_CO_saxi_6621                 	A06	KR912987
A06_XA_cuF1_canada_BC_saxi_928               	A06	KR912996
A06_XA_cuG2_usa_ID_saxi_450                  	A06	KR913011
A06_XA_di_usa_WI_saxi_6514                   	A06	KR913015
A06_XA_plF2_usa_CA_saxi_286                  	A06	KR913027
A07_XA_chE2_usa_UT_terr_219                  	A07	KR913043
A07_XA_cuE1_usa_UT_saxi_002                  	A07	KR913062
A07_XA_cuE1_usa_UT_saxi_029                  	A07	KR913063
A07_XA_cuE1_usa_UT_saxi_122                  	A07	KR913082
A07_XA_norchE3_usa_CO_terr_4284              	A07	KR913090
A08_RH_marg_usa_CA_saxi_738                  	A08	KR913100
A08_RH_mela_iran_AZARBAIJAN_saxi_5168        	A08	KR913102
A08_RH_mela_iran_AZARBAIJAN_saxi_5173        	A08	KR913104
A08_RH_mela_usa_NV_saxi_6759                 	A08	KR913113
A08_RH_pelt1_kyrgy_KARABUURA_saxi_6024       	A08	KR913123
A09_XA_chE2_usa_UT_terr_016                  	A09	KR913154
A09_XA_chE2_usa_WA_terr_502                  	A09	KR913155
A09_XA_cuE1_usa_UT_saxi_046                  	A09	KR913166
A09_XA_cuF1_usa_CA_saxi_1032                 	A09	KR913169
A09_XA_stB3_canada_BC_saxi_906               	A09	KR913178
A11_AJ293784_Trebouxia_Trinkaus450_BuellZohar	A11	AJ293784
A11_XA_caB1_usa_MT_terr_527                  	A11	KR913194
A11_XA_chE3_usa_UT_terr_493                  	A11	KR913196
A11_XA_cuG1_canada_BC_saxi_913               	A11	KR913198
A11_XA_neochF2_usa_CO_terr_328               	A11	KR913201
A12_LEC_unk_usa_UT_saxi_736                  	A12	KR913202
A12_XA_chE3_usa_UT_terr_127                  	A12	KR913204
A12_XA_chE3_usa_UT_terr_128                  	A12	KR913205
A12_XA_chE3_usa_UT_terr_129                  	A12	KR913206
A12_XA_chE3_usa_UT_terr_131                  	A12	KR913208
A13_AGG_aggregata_voucherSAG219_1a           	A13	Z68705
A13_CRENULATA_crenulata_voucher_AV106        	A13	KT819956
A13_L1096_Trebouxia_Tephro_EU_Spain_ITSp     	A13	KJ754299
A13_L1097_Trebouxia_Tephro_EU_Spain_ITSp     	A13	KJ754300
A13_TarboricolaSAG219Ia                      	A13	Z68705
A14_A20_XA_meF2_usa_AZ_saxi_147              	A14	KR913248
A14_A20_XA_meF2_usa_AZ_saxi_152              	A14	KR913249
A14_XA_maricopF2_usa_AZ_saxi_6699            	A14	KR913215
A14_XA_meD1_usa_AZ_saxi_504                  	A14	KR913217
A14_XA_meF2_usa_AZ_saxi_149                  	A14	KR913220
A15_LEC_mural_poland_unk_saxi_AY703900       	A15	AY703900
A15_LEC_mural_poland_unk_saxi_DQ133478       	A15	DQ133478
