project_name,species,growth_site,sample_focus,biorep,samples,run,run_id,runfiles,Insert,thallus_id
Lichen Tissue RNA1,xanthoria_parietina,bark,thallus_centre,2,XBC2,1,XBC2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbc2/xbc2/raw/XBC2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbc2/xbc2/raw/XBC2_2.fq.gz,200,XB2
Lichen Tissue RNA1,xanthoria_parietina,bark,apothecia,1,XBA1,1,XBA1,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xba1/xba1/raw/XBA1_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xba1/xba1/raw/XBA1_2.fq.gz,200,XB1
Lichen Tissue RNA1,xanthoria_parietina,stone_fence,apothecia,2,XSA2_2,1,XSA2_2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsa2_2/xsa2_2/raw/XSA2_2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsa2_2/xsa2_2/raw/XSA2_2_2.fq.gz,200,XS2
Lichen Tissue RNA1,xanthoria_parietina,stone_fence,thallus_centre,1,XSC1,1,XSC1,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsc1/xsc1/raw/XSC1_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsc1/xsc1/raw/XSC1_2.fq.gz,200,XS1
Lichen Tissue RNA1,xanthoria_parietina,stone_fence,thallus_edge,2,XSE2,1,XSE2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xse2/xse2/raw/XSE2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xse2/xse2/raw/XSE2_2.fq.gz,200,XS2
Lichen Tissue RNA1,xanthoria_parietina,bark,thallus_edge,1,XBE1,1,XBE1,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbe1/xbe1/raw/XBE1_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbe1/xbe1/raw/XBE1_2.fq.gz,200,XB1
Lichen Tissue RNA1,xanthoria_parietina,twigs,apothecia,2,XTA2,1,XTA2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xta2/xta2/raw/XTA2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xta2/xta2/raw/XTA2_2.fq.gz,200,XT2
Lichen Tissue RNA1,xanthoria_parietina,stone_fence,thallus_centre,2,XSC2,1,XSC2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsc2/xsc2/raw/XSC2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsc2/xsc2/raw/XSC2_2.fq.gz,200,XS2
Lichen Tissue RNA2,xanthoria_parietina,stone_fence,apothecia,2,XSA2,1,XSA2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsa2/xsa2/raw/XSA2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsa2/xsa2/raw/XSA2_2.fq.gz,200,XS2
Lichen Tissue RNA1,xanthoria_parietina,bark,apothecia,2,XBA2,1,XBA2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xba2/xba2/raw/XBA2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xba2/xba2/raw/XBA2_2.fq.gz,200,XB2
Lichen Tissue RNA1,xanthoria_parietina,bark,thallus_centre,1,XBC1,1,XBC1,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbc1/xbc1/raw/XBC1_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbc1/xbc1/raw/XBC1_2.fq.gz,200,XB1
Lichen Tissue RNA1,xanthoria_parietina,twigs,apothecia,1,XTA1,1,XTA1,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xta1/xta1/raw/XTA1_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xta1/xta1/raw/XTA1_2.fq.gz,200,XT1
Lichen Tissue RNA1,xanthoria_parietina,stone_fence,apothecia,1,XSA1,1,XSA1,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsa1/xsa1/raw/XSA1_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xsa1/xsa1/raw/XSA1_2.fq.gz,200,XS1
Lichen Tissue RNA1,xanthoria_parietina,filter,whole_thallus,1,MP_I,1,MP_I,/tsl/data/reads/ntalbot/lichen_tissue_rna1/mp_i/mp_i/raw/MP_I_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/mp_i/mp_i/raw/MP_I_2.fq.gz,200,MP_I
Lichen Tissue RNA1,xanthoria_parietina,twigs,thallus_centre,2,XTC2,1,XTC2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xtc2/xtc2/raw/XTC2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xtc2/xtc2/raw/XTC2_2.fq.gz,200,XT2
Lichen Tissue RNA1,xanthoria_parietina,twigs,thallus_edge,2,XTE2,1,XTE2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xte2/xte2/raw/XTE2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xte2/xte2/raw/XTE2_2.fq.gz,200,XT2
Lichen Tissue RNA1,xanthoria_parietina,bark,thallus_edge,2,XBE2,1,XBE2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbe2/xbe2/raw/XBE2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xbe2/xbe2/raw/XBE2_2.fq.gz,200,XB2
Lichen Tissue RNA1,xanthoria_parietina,metal_bridge,thallus_centre,2,XMC2,1,XMC2,/tsl/data/reads/ntalbot/lichen_tissue_rna1/xmc2/xmc2/raw/XMC2_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/xmc2/xmc2/raw/XMC2_2.fq.gz,200,XM2
Lichen Tissue RNA1,xanthoria_parietina,filter,whole_thallus,2,MP_II,1,MP_II,/tsl/data/reads/ntalbot/lichen_tissue_rna1/mp_ii/mp_ii/raw/MP_II_1.fq.gz;/tsl/data/reads/ntalbot/lichen_tissue_rna1/mp_ii/mp_ii/raw/MP_II_2.fq.gz,200,MP_II
