TranscriptID	XBE1	XBC1	XBE2	XBC2	XSE2	XSC2	XTE2	XTC2
GTX0536PRED_000001-T1	2.088	1.683	1.43	1.272	0.658	0.95	1.95	1.318
GTX0536PRED_000002-T1	4.211	5.25	5.023	4.26	3.151	2.711	4.827	3.283
GTX0536PRED_000003-T1	2.833	2.297	2.365	1.681	1.233	1.872	1.768	1.722
GTX0536PRED_000004-T1	8.058	6.823	7.023	6.074	3.793	4.297	6.387	4.987
GTX0536PRED_000005-T1	4.523	4.776	5.345	4.07	1.477	1.164	4.968	4.373
GTX0536PRED_000006-T1	1.634	1.374	2.315	2.156	0	0	2.164	1.792
GTX0536PRED_000007-T1	0.075	0.041	0.062	0	0	0	0	0.315
GTX0536PRED_000008-T1	4.815	3.96	3.755	2.831	4.153	4.086	4.383	3.576
GTX0536PRED_000009-T1	1.104	0.572	1.361	1.44	0.15	0.181	0.232	0.364
GTX0536PRED_000010-T1	5.396	7.334	8.498	8.468	1.581	1.6	6.014	4.169
GTX0536PRED_000011-T1	3.911	5.999	4.838	3.701	0	0	2.763	2.782
GTX0536PRED_000012-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000013-T1	2.665	1.746	2.19	1.1	0	0.035	2.64	2.329
GTX0536PRED_000014-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000015-T1	1.752	1.686	1.986	1.601	0.451	0.196	2.269	1.402
GTX0536PRED_000016-T1	4.87	3.706	6.009	2.807	1.102	1.072	4.598	2.656
GTX0536PRED_000017-T1	3.28	3.339	2.842	1.974	0.972	1.493	1.975	2.406
GTX0536PRED_000018-T1	2.414	1.032	1.554	0.991	1.615	1.437	1.764	1.342
GTX0536PRED_000019-T1	0.668	0.471	0.699	0.45	0	0.036	0.515	0.18
GTX0536PRED_000020-T1	2.891	2.855	2.232	1.961	0.663	0.805	2.784	3.141
GTX0536PRED_000020-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000021-T1	1.609	1.186	1.316	1.856	0	0	1.03	0.865
GTX0536PRED_000022-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000022-T2	0.383	0.588	0.279	0.222	0.275	0.511	0.477	0.323
GTX0536PRED_000022-T3	0	0.161	0.177	0.079	0.316	0.992	0.071	0.393
GTX0536PRED_000023-T1	3.393	3.271	3.423	2.782	4.172	4.822	2.643	2.217
GTX0536PRED_000024-T1	123.342	117.235	115.984	42.834	0	0	89.86	60.881
GTX0536PRED_000025-T1	0.374	0.73	0.83	0.844	0.597	0.784	1.662	0.481
GTX0536PRED_000026-T1	1.474	1.319	0.839	0.946	1.542	1.507	1.113	1.508
GTX0536PRED_000027-T1	0	0	0	0.31	0	0	0.751	2.742
GTX0536PRED_000028-T1	0.022	0	0	0.016	0	0	0.006	0.006
GTX0536PRED_000029-T1	0.362	0.555	1.143	0.693	0.013	0	0.32	0.846
GTX0536PRED_000030-T1	1.679	2.107	3.497	3.187	1.299	1.448	3.827	2.56
GTX0536PRED_000031-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000032-T1	0.338	0.569	0.483	0.205	0.494	0.727	0.235	0.147
GTX0536PRED_000033-T1	1.192	0.902	1.183	0.943	0.033	0.094	1.098	0.8
GTX0536PRED_000034-T1	0.892	1.337	0.998	0.991	0	0	0.846	0.819
GTX0536PRED_000035-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000036-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000037-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000038-T1	0	0	0	0.051	0	0.02	0	0
GTX0536PRED_000038-T2	0.09	0.141	0.117	0.077	0.113	0.117	0.194	0.072
GTX0536PRED_000039-T1	42.603	57.364	9.433	0	0	0	29.287	8.91
GTX0536PRED_000040-T1	0.694	1.093	0.544	0	1.172	1.845	0.318	0.309
