Orthogroup	Trebouxia_sp._A48.proteins	GeneID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias.Synonyms	EC_number	BUSCO	PFAM	InterPro	COG	GO.Terms	Protease	CAZyme
OG0000121	GTX0536PRED_012857-T1	GTX0536PRED_012857	mRNA	GTX0536_9	65090	66702	+		hypothetical protein	NA	NA		PF04827;PF13359	IPR027806 Harbinger transposase-derived nuclease domain	NA			
OG0000216	GTX0536PRED_012110-T1	GTX0536PRED_012110	mRNA	GTX0536_18	2055797	2056099	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003433-T1	GTX0536PRED_003433	mRNA	GTX0536_4	949885	954164	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003436-T1	GTX0536PRED_003436	mRNA	GTX0536_4	956204	956899	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003437-T1	GTX0536PRED_003437	mRNA	GTX0536_4	957171	957866	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003438-T1	GTX0536PRED_003438	mRNA	GTX0536_4	958138	958833	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003439-T1	GTX0536PRED_003439	mRNA	GTX0536_4	959105	959800	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003440-T1	GTX0536PRED_003440	mRNA	GTX0536_4	960072	960974	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003441-T1	GTX0536PRED_003441	mRNA	GTX0536_4	961039	961734	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003442-T1	GTX0536PRED_003442	mRNA	GTX0536_4	962006	962701	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003443-T1	GTX0536PRED_003443	mRNA	GTX0536_4	962973	963668	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003444-T1	GTX0536PRED_003444	mRNA	GTX0536_4	963940	964635	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003445-T1	GTX0536PRED_003445	mRNA	GTX0536_4	964907	965602	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003446-T1	GTX0536PRED_003446	mRNA	GTX0536_4	965874	966569	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003447-T1	GTX0536PRED_003447	mRNA	GTX0536_4	966841	967536	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003448-T1	GTX0536PRED_003448	mRNA	GTX0536_4	967808	968503	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003449-T1	GTX0536PRED_003449	mRNA	GTX0536_4	968775	969470	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003450-T1	GTX0536PRED_003450	mRNA	GTX0536_4	969742	970643	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003451-T1	GTX0536PRED_003451	mRNA	GTX0536_4	970709	971404	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003452-T1	GTX0536PRED_003452	mRNA	GTX0536_4	971676	972371	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003453-T1	GTX0536PRED_003453	mRNA	GTX0536_4	972643	973338	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003454-T1	GTX0536PRED_003454	mRNA	GTX0536_4	973610	974305	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003455-T1	GTX0536PRED_003455	mRNA	GTX0536_4	974577	975272	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003456-T1	GTX0536PRED_003456	mRNA	GTX0536_4	975544	976239	+		hypothetical protein	NA	NA				NA			
OG0003017	GTX0536PRED_003457-T1	GTX0536PRED_003457	mRNA	GTX0536_4	976511	977735	+		hypothetical protein	NA	NA				NA			
OG0006252	GTX0536PRED_012655-T2	GTX0536PRED_012655	mRNA	GTX0536_11	1966449	1969619	+		hypothetical protein	NA	NA		PF00078;PF08284;PF13650;PF13975	IPR000477 Reverse transcriptase domain;IPR001969 Aspartic peptidase, active site;IPR021109 Aspartic peptidase domain superfamily;IPR043128 Reverse transcriptase/Diguanylate cyclase domain;IPR043502 DNA/RNA polymerase superfamily	NA	GO_function: GO:0004190 - aspartic-type endopeptidase activity [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]		
OG0007936	GTX0536PRED_010452-T1	GTX0536PRED_010452	mRNA	GTX0536_14	2122605	2123060	-		hypothetical protein	NA	NA				NA			
OG0008891	GTX0536PRED_011362-T1	GTX0536PRED_011362	mRNA	GTX0536_16	2193216	2193877	+		hypothetical protein	NA	NA				NA			
OG0008920	GTX0536PRED_003539-T1	GTX0536PRED_003539	mRNA	GTX0536_4	1423871	1431764	+		hypothetical protein	NA	NA			IPR012416 CALMODULIN-BINDING PROTEIN60	NA	GO_function: GO:0005516 - calmodulin binding [Evidence IEA]		
OG0008920	GTX0536PRED_003539-T2	GTX0536PRED_003539	mRNA	GTX0536_4	1423871	1431764	+		hypothetical protein	NA	NA			IPR012416 CALMODULIN-BINDING PROTEIN60	NA	GO_function: GO:0005516 - calmodulin binding [Evidence IEA]		
OG0008920	GTX0536PRED_003539-T3	GTX0536PRED_003539	mRNA	GTX0536_4	1423871	1431764	+		hypothetical protein	NA	NA			IPR012416 CALMODULIN-BINDING PROTEIN60	NA	GO_function: GO:0005516 - calmodulin binding [Evidence IEA]		
OG0008920	GTX0536PRED_003539-T4	GTX0536PRED_003539	mRNA	GTX0536_4	1423871	1431764	+		hypothetical protein	NA	NA			IPR012416 CALMODULIN-BINDING PROTEIN60	NA	GO_function: GO:0005516 - calmodulin binding [Evidence IEA]		
OG0008920	GTX0536PRED_003539-T5	GTX0536PRED_003539	mRNA	GTX0536_4	1423871	1431764	+		hypothetical protein	NA	NA			IPR012416 CALMODULIN-BINDING PROTEIN60	NA	GO_function: GO:0005516 - calmodulin binding [Evidence IEA]		
OG0008920	GTX0536PRED_003539-T6	GTX0536PRED_003539	mRNA	GTX0536_4	1423871	1431764	+		hypothetical protein	NA	NA			IPR012416 CALMODULIN-BINDING PROTEIN60	NA	GO_function: GO:0005516 - calmodulin binding [Evidence IEA]		
OG0009211	GTX0536PRED_001804-T1	GTX0536PRED_001804	mRNA	GTX0536_2	3117007	3119680	+		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_001804-T2	GTX0536PRED_001804	mRNA	GTX0536_2	3117007	3119680	+		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_001805-T1	GTX0536PRED_001805	mRNA	GTX0536_2	3118265	3119824	-		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_002776-T1	GTX0536PRED_002776	mRNA	GTX0536_3	2481640	2483694	+		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_002777-T1	GTX0536PRED_002777	mRNA	GTX0536_3	2484145	2486352	-		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_007013-T1	GTX0536PRED_007013	mRNA	GTX0536_8	2792775	2793512	-		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_007181-T1	GTX0536PRED_007181	mRNA	GTX0536_9	66937	68902	-		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_011512-T1	GTX0536PRED_011512	mRNA	GTX0536_17	549750	551170	+		hypothetical protein	NA	NA				NA			
OG0009211	GTX0536PRED_011936-T1	GTX0536PRED_011936	mRNA	GTX0536_18	884795	887849	+		hypothetical protein	NA	NA				NA			
OG0009285	GTX0536PRED_004777-T1	GTX0536PRED_004777	mRNA	GTX0536_5	3367186	3368197	+		hypothetical protein	NA	NA				NA			
OG0009328	GTX0536PRED_001298-T1	GTX0536PRED_001298	mRNA	GTX0536_2	720817	722384	+		hypothetical protein	NA	NA			IPR008496 TMEM222/RTE1	NA			
OG0009349	GTX0536PRED_003532-T1	GTX0536PRED_003532	mRNA	GTX0536_4	1389674	1395358	-		hypothetical protein	NA	NA		PF04884	IPR006968 Root UVB sensitive family	NA			
OG0009520	GTX0536PRED_000431-T1	GTX0536PRED_000431	mRNA	GTX0536_1	2460060	2468643	-		hypothetical protein	NA	NA		PF04564	IPR003613 U-box domain;IPR013083 Zinc finger, RING/FYVE/PHD-type	NA	GO_function: GO:0004842 - ubiquitin-protein transferase activity [Evidence IEA];GO_process: GO:0016567 - protein ubiquitination [Evidence IEA]		
OG0009529	GTX0536PRED_009627-T1	GTX0536PRED_009627	mRNA	GTX0536_13	443846	444729	+		hypothetical protein	NA	NA				NA			
OG0009607	GTX0536PRED_003768-T1	GTX0536PRED_003768	mRNA	GTX0536_4	2585525	2586267	+		hypothetical protein	NA	NA				NA			
OG0009607	GTX0536PRED_004911-T1	GTX0536PRED_004911	mRNA	GTX0536_5	4088985	4091889	-		hypothetical protein	NA	NA			IPR038765 Papain-like cysteine peptidase superfamily	NA			
OG0009607	GTX0536PRED_004911-T2	GTX0536PRED_004911	mRNA	GTX0536_5	4088985	4091889	-		hypothetical protein	NA	NA			IPR038765 Papain-like cysteine peptidase superfamily	NA			
OG0009607	GTX0536PRED_004911-T3	GTX0536PRED_004911	mRNA	GTX0536_5	4088985	4091889	-		hypothetical protein	NA	NA			IPR038765 Papain-like cysteine peptidase superfamily	NA			
OG0009607	GTX0536PRED_006375-T1	GTX0536PRED_006375	mRNA	GTX0536_7	3490577	3492059	-		hypothetical protein	NA	NA		PF02902	IPR003653 Ulp1 protease family, C-terminal catalytic domain;IPR038765 Papain-like cysteine peptidase superfamily	NA	GO_function: GO:0008234 - cysteine-type peptidase activity [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]	C48	
OG0009607	GTX0536PRED_006396-T1	GTX0536PRED_006396	mRNA	GTX0536_7	3612044	3612496	-		hypothetical protein	NA	NA				NA			
OG0009607	GTX0536PRED_010988-T1	GTX0536PRED_010988	mRNA	GTX0536_15	2336693	2337495	-		hypothetical protein	NA	NA				NA			
