Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Cenococcum geophilum 1.58 NAD(P)-binding protein (K441DRAFT_204458), mRNA",Cenococcum geophilum 1.58,362,362,100%,8e-119,54.76,1440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_067640502.1?report=genbank&log$=nucltop&blast_rank=1&RID=ZUKKA6V0016"",""XM_067640502.1"")"
"Bacidia gigantensis uncharacterized protein (KY384_004803), partial mRNA",Bacidia gigantensis,350,350,99%,3e-116,53.31,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_044813306.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZUKKA6V0016"",""XM_044813306.1"")"
"Letharia lupina uncharacterized protein (HO133_004889), partial mRNA",Letharia lupina,348,348,99%,2e-115,54.63,990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037295801.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZUKKA6V0016"",""XM_037295801.1"")"
"Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_32426), partial mRNA",Fusarium vanettenii 77-13-4,339,339,99%,1e-111,51.04,1026,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003045767.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZUKKA6V0016"",""XM_003045767.1"")"
"Colletotrichum karsti uncharacterized protein (CkaCkLH20_08574), partial mRNA",Colletotrichum karsti,338,338,99%,1e-111,52.24,1020,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038891289.1?report=genbank&log$=nucltop&blast_rank=5&RID=ZUKKA6V0016"",""XM_038891289.1"")"
"Fusarium keratoplasticum uncharacterized protein (NCS57_00214000), partial mRNA",Fusarium keratoplasticum,338,338,99%,2e-111,50.45,1026,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_053052175.1?report=genbank&log$=nucltop&blast_rank=6&RID=ZUKKA6V0016"",""XM_053052175.1"")"
"Fusarium solani uncharacterized protein (MRS44_006792), partial mRNA",Fusarium solani,338,338,99%,2e-111,50.45,1026,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046272479.2?report=genbank&log$=nucltop&blast_rank=7&RID=ZUKKA6V0016"",""XM_046272479.2"")"
"Fusarium coffeatum uncharacterized protein (FIESC28_09125), partial mRNA",Fusarium coffeatum,337,337,98%,4e-111,51.51,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031163262.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZUKKA6V0016"",""XM_031163262.1"")"
"Colletotrichum godetiae short-chain dehydrogenase (BDP55DRAFT_544934), partial mRNA",Colletotrichum godetiae,337,337,100%,5e-111,51.18,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060568530.1?report=genbank&log$=nucltop&blast_rank=9&RID=ZUKKA6V0016"",""XM_060568530.1"")"
"Saxophila tyrrhenica uncharacterized protein (LTR77_008331), partial mRNA",Saxophila tyrrhenica,336,336,99%,8e-111,50.75,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064805563.1?report=genbank&log$=nucltop&blast_rank=10&RID=ZUKKA6V0016"",""XM_064805563.1"")"
"Exophiala viscosa uncharacterized protein (EDD37DRAFT_646062), partial mRNA",Exophiala viscosa,335,335,99%,2e-110,54.93,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_062817694.1?report=genbank&log$=nucltop&blast_rank=11&RID=ZUKKA6V0016"",""XM_062817694.1"")"
"Baudoinia panamericana UAMH 10762 uncharacterized protein (BAUCODRAFT_23481), partial mRNA",Baudoinia panamericana UAMH 10762,333,333,99%,2e-109,52.37,1023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_007676929.1?report=genbank&log$=nucltop&blast_rank=12&RID=ZUKKA6V0016"",""XM_007676929.1"")"
"Didymosphaeria variabile uncharacterized protein (N0V89_002000), partial mRNA",Didymosphaeria variabile,332,332,99%,3e-109,53.43,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_056210811.1?report=genbank&log$=nucltop&blast_rank=13&RID=ZUKKA6V0016"",""XM_056210811.1"")"
"Fusarium falciforme Hypothetical protein (NCS54_00218800), partial mRNA",Fusarium falciforme,332,332,99%,5e-109,49.85,1026,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_053147791.1?report=genbank&log$=nucltop&blast_rank=14&RID=ZUKKA6V0016"",""XM_053147791.1"")"
"Knufia obscura uncharacterized protein (PMZ80_009193), partial mRNA",Knufia obscura,332,332,99%,7e-109,53.69,1023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064877588.1?report=genbank&log$=nucltop&blast_rank=15&RID=ZUKKA6V0016"",""XM_064877588.1"")"
"Penicillium riverlandense uncharacterized protein (N7474_009709), partial mRNA",Penicillium riverlandense,330,330,99%,2e-108,53.13,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_057201119.1?report=genbank&log$=nucltop&blast_rank=16&RID=ZUKKA6V0016"",""XM_057201119.1"")"
"Diaporthe citri uncharacterized protein (INS49_013392), partial mRNA",Diaporthe citri,330,330,99%,3e-108,52.54,1005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043174091.1?report=genbank&log$=nucltop&blast_rank=17&RID=ZUKKA6V0016"",""XM_043174091.1"")"
"Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_89149), partial mRNA",Fusarium vanettenii 77-13-4,330,330,98%,3e-108,51.64,1029,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003039440.1?report=genbank&log$=nucltop&blast_rank=18&RID=ZUKKA6V0016"",""XM_003039440.1"")"
"Ilyonectria robusta WW domain-containing oxidoreductase (BGZ61DRAFT_362423), partial mRNA",Ilyonectria robusta,330,330,99%,3e-108,50.89,1014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046241359.1?report=genbank&log$=nucltop&blast_rank=19&RID=ZUKKA6V0016"",""XM_046241359.1"")"
"Colletotrichum lupini short-chain dehydrogenase (CLUP02_01360), partial mRNA",Colletotrichum lupini,329,329,100%,5e-108,50.59,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_049280401.1?report=genbank&log$=nucltop&blast_rank=20&RID=ZUKKA6V0016"",""XM_049280401.1"")"
"Colletotrichum fioriniae uncharacterized protein (N0V96_001608), partial mRNA",Colletotrichum fioriniae,329,329,100%,5e-108,50.89,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_053194193.2?report=genbank&log$=nucltop&blast_rank=21&RID=ZUKKA6V0016"",""XM_053194193.2"")"
"Colletotrichum paranaense short-chain dehydrogenase (CPAR01_15692), partial mRNA",Colletotrichum paranaense,329,329,100%,6e-108,50.59,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060499940.1?report=genbank&log$=nucltop&blast_rank=22&RID=ZUKKA6V0016"",""XM_060499940.1"")"
"Colletotrichum costaricense short-chain dehydrogenase (CCOS01_03134), partial mRNA",Colletotrichum costaricense,329,329,100%,6e-108,50.59,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060451320.1?report=genbank&log$=nucltop&blast_rank=23&RID=ZUKKA6V0016"",""XM_060451320.1"")"
"Ilyonectria robusta uncharacterized protein (BGZ61DRAFT_469541), mRNA",Ilyonectria robusta,331,331,99%,7e-108,51.50,1187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046247966.1?report=genbank&log$=nucltop&blast_rank=24&RID=ZUKKA6V0016"",""XM_046247966.1"")"
