Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Trebouxia decolorans clone contig_45971 putative oxidoreductase-like gene, partial sequence",Trebouxia decolorans,239,239,39%,2e-74,86.36,635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF573969.1?report=genbank&log$=nucltop&blast_rank=1&RID=ZV4CMEA8016"",""KF573969.1"")"
"Caulobacter segnis strain RL271 chromosome, complete genome",Caulobacter segnis,233,429,94%,3e-64,42.15,5687505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096040.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZV4CMEA8016"",""CP096040.1"")"
"Deinococcus psychrotolerans strain S14-83 chromosome 1, complete sequence",Deinococcus psychrotolerans,232,349,99%,6e-64,41.84,2784072,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP034183.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZV4CMEA8016"",""CP034183.1"")"
"Deinococcus actinosclerus strain BM2 chromosome, complete genome",Deinococcus actinosclerus,231,352,96%,7e-64,42.51,3264334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP013910.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZV4CMEA8016"",""CP013910.1"")"
"Deinococcus grandis ATCC 43672 DNA, complete genome",Deinococcus grandis,230,354,96%,2e-63,42.55,3241502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP021849.1?report=genbank&log$=nucltop&blast_rank=5&RID=ZV4CMEA8016"",""AP021849.1"")"
"Streptomyces sp. NBC_00019 chromosome, complete genome",Streptomyces sp. NBC_00019,228,739,95%,2e-62,41.54,11287307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP108302.1?report=genbank&log$=nucltop&blast_rank=6&RID=ZV4CMEA8016"",""CP108302.1"")"
"Caulobacter sp. NIBR2454 chromosome, complete genome",Caulobacter sp. NIBR2454,228,439,98%,2e-62,41.74,3700225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP114871.1?report=genbank&log$=nucltop&blast_rank=7&RID=ZV4CMEA8016"",""CP114871.1"")"
"Deinococcus sp. KNUC1210 chromosome, complete genome",Deinococcus sp. KNUC1210,227,336,93%,2e-62,44.16,2798668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP092190.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZV4CMEA8016"",""CP092190.1"")"
"Deinococcus rubellus strain Ant6 chromosome, complete genome",Deinococcus rubellus,227,332,100%,3e-62,41.30,3041811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP104213.1?report=genbank&log$=nucltop&blast_rank=9&RID=ZV4CMEA8016"",""CP104213.1"")"
"Deinococcus sp. RM chromosome, complete genome",Deinococcus sp. RM,226,346,96%,7e-62,42.55,3199600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP182821.1?report=genbank&log$=nucltop&blast_rank=10&RID=ZV4CMEA8016"",""CP182821.1"")"
"Deinococcus irradiatisoli strain 17bor-2 chromosome, complete genome",Deinococcus irradiatisoli,226,330,100%,8e-62,41.74,3052043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029494.1?report=genbank&log$=nucltop&blast_rank=11&RID=ZV4CMEA8016"",""CP029494.1"")"
"MAG: Qipengyuania sp. isolate f693b026-f2d2-426a-8e49-dd58bab10fb2 genome assembly, chromosome: 1",Qipengyuania sp.,225,225,93%,1e-61,40.50,2840534,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ243959.1?report=genbank&log$=nucltop&blast_rank=12&RID=ZV4CMEA8016"",""OZ243959.1"")"
"Singulisphaera acidiphila DSM 18658, complete genome",Singulisphaera acidiphila DSM 18658,225,326,94%,1e-61,41.90,9629675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP003364.1?report=genbank&log$=nucltop&blast_rank=13&RID=ZV4CMEA8016"",""CP003364.1"")"
"Rhizobium leguminosarum bv. trifolii clone Rt625_36 shikimate dehydrogenase gene, complete cds",Rhizobium leguminosarum bv. trifolii,210,210,91%,1e-61,40.06,969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX487113.1?report=genbank&log$=nucltop&blast_rank=14&RID=ZV4CMEA8016"",""KX487113.1"")"
"'Deinococcus soli' Cha et al. 2014 strain N5, complete genome",Deinococcus soli (ex Cha et al. 2016),225,343,96%,1e-61,41.64,3236984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP011389.1?report=genbank&log$=nucltop&blast_rank=15&RID=ZV4CMEA8016"",""CP011389.1"")"
"Ktedonosporobacter rubrisoli strain SCAWS-G2 chromosome, complete genome",Ktedonosporobacter rubrisoli,225,632,96%,1e-61,39.57,11340617,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035758.1?report=genbank&log$=nucltop&blast_rank=16&RID=ZV4CMEA8016"",""CP035758.1"")"
"Streptomyces lincolnensis strain LC-G chromosome, complete genome",Streptomyces lincolnensis,224,648,95%,2e-61,40.60,9513637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022744.1?report=genbank&log$=nucltop&blast_rank=17&RID=ZV4CMEA8016"",""CP022744.1"")"
