target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	change	GeneID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias.Synonyms	EC_number	BUSCO	PFAM	InterPro	COG	GO.Terms	Protease	CAZyme	is_secreted
GTX0536PRED_000566-T1	1.22947519569802e-57	1.69113107800423e-56	6.48415882440752	0.405199206108885	4.67259805443048	9.26555521207599	0.0182444994129837	0.084255475182503	0.339980365964334	0.339980365964334	thallus	GTX0536PRED_000566	mRNA	GTX0536_1	3443025	3444149	-		hypothetical protein	NA	NA				NA				No
GTX0536PRED_004043-T2	4.53966061577761e-16	4.59865981511624e-15	5.55804318563409	0.684216541022349	4.9676490676812	7.65931953348018	0.135561943439371	0.88586120203391	0.193284213799281	0.88586120203391	thallus	GTX0536PRED_004043	mRNA	GTX0536_4	4059398	4064512	-		hypothetical protein	NA	NA			IPR001763 Rhodanese-like domain;IPR036873 Rhodanese-like domain superfamily;IPR044690 Calcium sensing receptor, plant	NA	GO_process: GO:0009704 - de-etiolation [Evidence IEA];GO_process: GO:0071277 - cellular response to calcium ion [Evidence IEA];GO_process: GO:0090333 - regulation of stomatal closure [Evidence IEA]			No
GTX0536PRED_005207-T2	2.06432056487539e-05	0.000117973187475363	4.17246682297545	0.979954284309195	4.2466619267377	5.68413228716823	0.0507469996553413	2.04447568980491	0.843872448024161	2.04447568980491	thallus	GTX0536PRED_005207	mRNA	GTX0536_6	1473376	1476165	-		hypothetical protein	NA	NA			IPR002347 Short-chain dehydrogenase/reductase SDR;IPR036291 NAD(P)-binding domain superfamily	NA	GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]			No
GTX0536PRED_002353-T1	7.25435853190181e-45	8.92795177215635e-44	4.11969667174458	0.293128119006926	7.47144241587292	3.87168382135772	0.000680928124336297	0.18678982275393	0.10323057498183	0.18678982275393	thallus	GTX0536PRED_002353	mRNA	GTX0536_3	348817	349184	+		hypothetical protein	NA	NA				NA				No
GTX0536PRED_012862-T1	1.22296460663012e-05	7.22450249727183e-05	3.98981762670646	0.912280851374846	3.76559878778422	4.02586687569163	0.0246047226639659	0.589515314316001	1.79122731759468	1.79122731759468	thallus	GTX0536PRED_012862	mRNA	GTX0536_9	2117519	2121219	-		hypothetical protein	NA	NA		PF13668		NA				No
GTX0536PRED_003247-T1	6.24203530588835e-05	0.000337478825979243	3.8779956359919	0.968658811496778	2.12721328197962	3.74002139691301	0.0905969082322315	0.419200566453599	1.95660285851035	1.95660285851035	thallus	GTX0536PRED_003247	mRNA	GTX0536_3	4810793	4811807	+		hypothetical protein	NA	NA				NA				No
GTX0536PRED_002973-T2	1.02013599144594e-54	1.35023659999873e-53	3.55651500543941	0.228297245418061	5.90802868853964	2.83480483143142	0.0137331442160124	0.069674490566607	0.0999824170904773	0.0999824170904773	thallus	GTX0536PRED_002973	mRNA	GTX0536_3	3398752	3405460	-		hypothetical protein	NA	NA				NA				No
GTX0536PRED_003149-T1	2.08488079101095e-46	2.62339708501199e-45	3.42805565753803	0.239667819179663	7.87723792504426	2.65312585085178	0.0004372767883257	0.098615949528959	0.124887807321498	0.124887807321498	thallus	GTX0536PRED_003149	mRNA	GTX0536_3	4255374	4256584	-		hypothetical protein	NA	NA	5551at3041	PF02605	IPR003757 Photosystem I PsaL, reaction centre subunit XI;IPR022980 Photosystem I, reaction centre subunit XI;IPR036592 Photosystem I PsaL, reaction centre subunit XI superfamily	NA	GO_component: GO:0009538 - photosystem I reaction center [Evidence IEA];GO_component: GO:0009522 - photosystem I [Evidence IEA];GO_process: GO:0015979 - photosynthesis [Evidence IEA]			No
GTX0536PRED_001831-T1	1.00076642523086e-32	1.14152462975521e-31	3.34352999687415	0.280639081349359	8.37273925480682	2.5478009758868	0.000356903948011289	0.1204257141087	0.17147937382787	0.17147937382787	thallus	GTX0536PRED_001831	mRNA	GTX0536_2	3248541	3250632	-		hypothetical protein	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_011278-T1	4.56095049919672e-43	5.4927154938824e-42	3.34087194058287	0.24283157971215	7.68316954306355	2.55101016181602	0.000734465286306926	0.127921191671144	0.11304140569912	0.127921191671144	thallus	GTX0536PRED_011278	mRNA	GTX0536_16	1660131	1663449	-		hypothetical protein	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
