target_id	length	eff_length	est_counts	tpm
GTX0536PRED_000001-T1	3448	3203.3	82	24.5249
GTX0536PRED_000002-T1	2401	2156.3	214	95.0813
GTX0536PRED_000003-T1	2569	2324.3	125	51.5239
GTX0536PRED_000004-T1	4411	4166.3	524	120.496
GTX0536PRED_000005-T1	1071	826.298	93	107.829
GTX0536PRED_000006-T1	966	721.298	40	53.1295
GTX0536PRED_000007-T1	1876	1631.3	11	6.46025
GTX0536PRED_000008-T1	1378	1133.3	116	98.0628
GTX0536PRED_000009-T1	1655	1410.3	4	2.71731
GTX0536PRED_000010-T1	1264	1019.3	113	106.211
GTX0536PRED_000011-T1	1332	1087.3	54.66	48.1627
GTX0536PRED_000012-T1	1041	796.298	0	0
GTX0536PRED_000013-T1	1158	913.298	33	34.6172
GTX0536PRED_000014-T1	486	241.548	0	0
GTX0536PRED_000015-T1	2188	1943.3	71	35.0033
GTX0536PRED_000016-T1	1347	1102.3	54	46.9337
GTX0536PRED_000017-T1	3621	3376.3	136	38.5912
GTX0536PRED_000018-T1	2060	1815.3	52	27.4439
GTX0536PRED_000019-T1	2023	1778.3	9	4.84873
GTX0536PRED_000020-T1	4062	3817.3	250	62.7443
GTX0536PRED_000020-T2	2977	2732.3	0	0
GTX0536PRED_000021-T1	3498	3253.3	52	15.3133
GTX0536PRED_000022-T1	1038	793.298	0	0
GTX0536PRED_000022-T2	1051	806.298	8.07154	9.59072
GTX0536PRED_000022-T3	899	654.298	7.92846	11.6092
GTX0536PRED_000023-T1	2398	2153.3	70	31.1447
GTX0536PRED_000024-T1	302	71.1646	37	498.113
GTX0536PRED_000025-T1	1264	1019.3	7	6.57941
GTX0536PRED_000026-T1	1095	850.298	15	16.9009
GTX0536PRED_000027-T1	339	100.277	2	19.1082
GTX0536PRED_000028-T1	5616	5371.3	1	0.178366
GTX0536PRED_000029-T1	2591	2346.3	45	18.3747
GTX0536PRED_000030-T1	1413	1168.3	32	26.2414
GTX0536PRED_000031-T1	696	451.33	0	0
GTX0536PRED_000032-T1	1778	1533.3	4	2.49933
GTX0536PRED_000033-T1	7630	7385.3	53	6.8754
GTX0536PRED_000034-T1	2862	2617.3	30	10.9814
GTX0536PRED_000035-T1	405	161.602	0	0
GTX0536PRED_000036-T1	417	173.315	0	0
GTX0536PRED_000037-T1	1875	1630.3	0	0
GTX0536PRED_000038-T1	3714	3469.3	0	0
GTX0536PRED_000038-T2	4256	4011.3	5	1.1942
GTX0536PRED_000039-T1	339	100.277	0	0
GTX0536PRED_000040-T1	873	628.298	6	9.14905
GTX0536PRED_000041-T1	336	97.6979	0	0
GTX0536PRED_000042-T1	273	53.4763	0	0
GTX0536PRED_000043-T1	510	265.403	0	0
GTX0536PRED_000044-T1	213	33.0428	2	57.9887
GTX0536PRED_000045-T1	495	250.485	1831	7003.2
GTX0536PRED_000046-T1	1381	1136.3	29.6058	24.9617
GTX0536PRED_000047-T1	1544	1299.3	17.3942	12.8258
GTX0536PRED_000047-T2	1281	1036.3	0	0
GTX0536PRED_000048-T1	8171	7926.3	132	15.9549
GTX0536PRED_000049-T1	666	421.33	0	0
GTX0536PRED_000050-T1	668	423.33	473	1070.46
GTX0536PRED_000051-T1	3192	2947.3	1	0.325062
GTX0536PRED_000052-T1	576	331.33	6	17.3493
