,T. sp. A48,T. SL0000003,descriptions
PF00069,259,194,Protein kinase domain
PF07714,233,169,Protein tyrosine and serine/threonine kinase
PF00067,24,18,Cytochrome P450
PF01926,78,55,50S ribosome-binding GTPase
PF08153,1,1,NGP1NT (NUC091) domain
PF04548,3,3,AIG1 family
PF11886,1,1,"Translocase of chloroplast 159/132, membrane anchor domain"
PF01643,1,1,Acyl-ACP thioesterase
PF00462,11,9,Glutaredoxin
PF02136,4,3,Nuclear transport factor 2 (NTF2) domain
PF00248,27,20,Aldo/keto reductase family
PF03647,1,1,Transmembrane proteins 14C
PF00855,11,7,PWWP domain
PF00160,24,17,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00644,7,7,Poly(ADP-ribose) polymerase catalytic domain
PF02877,1,1,"Poly(ADP-ribose) polymerase, regulatory domain"
PF05406,1,1,WGR domain
PF06203,6,5,CCT motif
PF01764,32,27,Lipase (class 3)
PF00226,57,41,DnaJ domain
PF01233,1,0,"Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain"
PF02799,1,1,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain"
PF10183,1,1,ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)
PF01979,9,4,Amidohydrolase family
PF07969,2,2,Amidohydrolase family
PF01593,16,12,Flavin containing amine oxidoreductase
PF13450,29,18,NAD(P)-binding Rossmann-like domain
PF13374,8,8,Tetratricopeptide repeat
PF06813,1,0,Nodulin-like
PF07491,1,0,Protein phosphatase inhibitor
PF01157,1,1,Ribosomal protein L21e
PF13460,31,27,NAD(P)H-binding
PF05983,1,0,MED7 protein
PF00090,3,3,Thrombospondin type 1 domain
PF19030,6,4,Thrombospondin type 1 domain
PF10294,13,10,Lysine methyltransferase
PF00817,7,7,impB/mucB/samB family
PF11799,7,6,impB/mucB/samB family C-terminal domain
PF18439,1,1,Ubiquitin-Binding Zinc Finger
PF01592,1,1,NifU-like N terminal domain
PF00365,2,2,Phosphofructokinase
PF04725,1,0,Photosystem II 10 kDa polypeptide PsbR
PF00249,29,20,Myb-like DNA-binding domain
PF09138,1,0,Urm1 (Ubiquitin related modifier)
PF02042,6,7,RWP-RK domain
PF00982,3,2,Glycosyltransferase family 20
PF04755,10,7,PAP_fibrillin
PF13238,7,2,AAA domain
PF03446,14,13,NAD binding domain of 6-phosphogluconate dehydrogenase
PF03807,14,13,NADP oxidoreductase coenzyme F420-dependent
PF00005,68,61,ABC transporter
PF00106,91,77,short chain dehydrogenase
PF01370,33,28,NAD dependent epimerase/dehydratase family
PF08659,74,59,KR domain
PF13561,87,73,Enoyl-(Acyl carrier protein) reductase
PF00027,22,19,Cyclic nucleotide-binding domain
PF00520,13,13,Ion transport protein
PF07885,7,7,Ion channel
PF12422,2,1,Condensin II non structural maintenance of chromosomes subunit
PF01612,16,12,3'-5' exonuclease
PF14493,2,1,Helix-turn-helix domain
PF03572,6,5,Peptidase family S41
PF01734,7,7,Patatin-like phospholipase
PF13355,2,2,"ARC6-like, IMS domain"
PF13649,70,47,Methyltransferase domain
PF00153,44,33,Mitochondrial carrier protein
PF00628,22,15,PHD-finger
PF13871,4,4,C-terminal domain on Strawberry notch homologue
PF13872,4,5,P-loop containing NTP hydrolase pore-1
PF00400,163,109,"WD domain, G-beta repeat"
PF00505,11,10,HMG (high mobility group) box
PF09011,13,11,HMG-box domain
PF08757,2,2,CotH kinase protein
PF00023,74,53,Ankyrin repeat
PF12796,77,54,Ankyrin repeats (3 copies)
PF13606,51,36,Ankyrin repeat
PF13637,64,43,Ankyrin repeats (many copies)
PF13857,48,34,Ankyrin repeats (many copies)
PF00072,10,6,Response regulator receiver domain
PF00512,5,3,His Kinase A (phospho-acceptor) domain
PF02518,16,10,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF00155,22,17,Aminotransferase class I and II
PF13500,3,3,AAA domain
PF00293,18,9,NUDIX domain
PF04055,11,12,Radical SAM superfamily
PF06968,1,1,Biotin and Thiamin Synthesis associated domain
PF04969,11,6,CS domain
PF00514,12,18,Armadillo/beta-catenin-like repeat
PF00651,24,23,BTB/POZ domain
PF00076,110,87,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF12353,1,1,Eukaryotic translation initiation factor 3 subunit G
PF00176,37,28,SNF2-related domain
PF00271,114,83,Helicase conserved C-terminal domain
PF04851,46,43,"Type III restriction enzyme, res subunit"
PF03028,15,12,Dynein heavy chain region D6 P-loop domain
PF07728,53,39,AAA domain (dynein-related subfamily)
PF08393,14,12,"Dynein heavy chain, N-terminal region 2"
PF12774,14,12,Hydrolytic ATP binding site of dynein motor region
PF12775,14,12,P-loop containing dynein motor region
PF12777,14,12,Microtubule-binding stalk of dynein motor
PF12780,14,12,P-loop containing dynein motor region D4
PF12781,14,10,ATP-binding dynein motor region
PF17852,13,11,Dynein heavy chain AAA lid domain
PF17857,13,11,AAA+ lid domain
PF18198,14,12,Dynein heavy chain AAA lid domain
PF18199,13,12,Dynein heavy chain C-terminal domain
PF00190,6,6,Cupin
PF10263,3,2,SprT-like family
PF04048,1,1,Sec8 exocyst complex component specific domain
PF10475,5,4,"Vacuolar-sorting protein 54, of GARP complex"
PF07992,26,16,Pyridine nucleotide-disulphide oxidoreductase
PF02270,1,1,"TFIIF, beta subunit HTH domain"
PF00850,11,6,Histone deacetylase domain
PF03061,6,4,Thioesterase superfamily
PF01857,2,2,Retinoblastoma-associated protein B domain
PF01858,2,1,Retinoblastoma-associated protein A domain
PF11934,1,1,Domain of unknown function (DUF3452)
PF01564,2,2,Spermine/spermidine synthase domain
PF17284,2,2,Spermidine synthase tetramerisation domain
PF00150,19,14,Cellulase (glycosyl hydrolase family 5)
PF00232,6,4,Glycosyl hydrolase family 1
PF00957,6,6,Synaptobrevin
PF13774,5,5,Regulated-SNARE-like domain
PF09335,12,9,SNARE associated Golgi protein
PF00515,8,9,Tetratricopeptide repeat
PF07719,18,12,Tetratricopeptide repeat
PF13174,4,4,Tetratricopeptide repeat
PF13176,13,10,Tetratricopeptide repeat
PF13181,47,38,Tetratricopeptide repeat
PF13414,14,9,TPR repeat
PF13424,12,12,Tetratricopeptide repeat
PF13431,9,4,Tetratricopeptide repeat
PF13432,32,22,Tetratricopeptide repeat
PF14559,13,11,Tetratricopeptide repeat
PF02214,11,6,BTB/POZ domain
PF13921,13,7,Myb-like DNA-binding domain
PF03435,4,5,Saccharopine dehydrogenase NADP binding domain
PF03795,1,0,YCII-related domain
PF09273,7,8,Rubisco LSMT substrate-binding
PF05050,6,5,Methyltransferase FkbM domain
PF00022,7,7,Actin
PF00632,13,10,HECT-domain (ubiquitin-transferase)
PF00582,11,4,Universal stress protein family
PF01547,2,1,Bacterial extracellular solute-binding protein
PF13531,2,1,Bacterial extracellular solute-binding protein
PF00728,2,2,"Glycosyl hydrolase family 20, catalytic domain"
PF02838,1,1,"Glycosyl hydrolase family 20, domain 2"
PF03109,20,13,ABC1 atypical kinase-like domain
PF02958,3,0,Ecdysteroid kinase-like family
PF01169,4,4,Uncharacterized protein family UPF0016
PF03083,3,1,Sugar efflux transporter for intercellular exchange
PF03876,2,2,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
PF08292,1,1,RNA polymerase III subunit Rpc25
PF01956,2,2,Integral membrane protein EMC3/TMCO1-like
PF07228,6,4,Stage II sporulation protein E (SpoIIE)
PF13245,15,8,AAA domain
PF13604,17,5,AAA domain
PF05970,3,0,PIF1-like helicase
PF00098,13,11,Zinc knuckle
PF01399,17,10,PCI domain
PF12569,1,1,"N-terminal acetyltransferase A, auxiliary subunit"
PF04483,1,0,Protein of unknown function (DUF565)
PF04641,2,1,Rtf2 RING-finger
PF12906,6,2,RING-variant domain
PF15305,1,1,Intraflagellar transport protein 43
PF00439,15,11,Bromodomain
PF01256,2,1,Carbohydrate kinase
PF01553,12,8,Acyltransferase
PF01545,5,4,Cation efflux family
PF16916,2,2,Dimerisation domain of Zinc Transporter
PF16282,2,1,SANT/Myb-like domain of DAMP1
PF00112,9,6,Papain family cysteine protease
PF00355,14,14,Rieske [2Fe-2S] domain
PF01266,17,12,FAD dependent oxidoreductase
PF00642,17,14,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF01344,20,16,Kelch motif
PF13415,15,13,"Galactose oxidase, central domain"
PF13418,19,15,"Galactose oxidase, central domain"
PF13964,11,8,Kelch motif
PF04564,39,24,U-box domain
PF00313,3,3,'Cold-shock' DNA-binding domain
PF04100,1,1,"Vps53-like, N-terminal"
PF00498,18,12,FHA domain
PF00657,5,4,GDSL-like Lipase/Acylhydrolase
PF07727,7,0,Reverse transcriptase (RNA-dependent DNA polymerase)
PF00152,6,3,"tRNA synthetases class II (D, K and N)"
PF01336,11,5,OB-fold nucleic acid binding domain
PF05216,1,0,UNC-50 family
PF01873,2,2,Domain found in IF2B/IF5
PF02020,4,2,eIF4-gamma/eIF5/eIF2-epsilon
PF01648,2,1,4'-phosphopantetheinyl transferase superfamily
PF00154,3,3,recA bacterial DNA recombination protein
PF08423,10,6,Rad51
PF13481,7,5,AAA domain
PF00443,30,25,Ubiquitin carboxyl-terminal hydrolase
PF02148,6,2,Zn-finger in ubiquitin-hydrolases and other protein
PF13423,17,15,Ubiquitin carboxyl-terminal hydrolase
PF01725,1,1,Ham1 family
PF00939,3,3,Sodium:sulfate symporter transmembrane region
PF03600,3,2,Citrate transporter
PF00612,18,13,IQ calmodulin-binding motif
PF01940,3,2,Integral membrane protein DUF92
PF00009,23,21,Elongation factor Tu GTP binding domain
PF07202,1,1,T-complex protein 10 C-terminus
PF00225,37,34,Kinesin motor domain
PF00373,1,1,FERM central domain
PF00784,1,1,MyTH4 domain
PF16796,32,31,Microtubule binding
PF00231,2,2,ATP synthase
PF06963,2,2,Ferroportin1 (FPN1)
PF01255,1,1,Putative undecaprenyl diphosphate synthase
PF07645,3,2,Calcium-binding EGF domain
PF12947,1,0,EGF domain
PF00730,8,4,HhH-GPD superfamily base excision DNA repair protein
PF04209,1,1,"Homogentisate 1,2-dioxygenase C-terminal"
PF00481,18,14,Protein phosphatase 2C
PF16326,2,2,ABC transporter C-terminal domain
PF00013,13,11,KH domain
PF00397,15,12,WW domain
PF03208,3,3,PRA1 family protein
PF01641,4,3,SelR domain
PF01762,9,7,Galactosyltransferase
PF01619,2,2,Proline dehydrogenase
PF00137,2,3,ATP synthase subunit C
PF14360,2,1,PAP2 superfamily C-terminal
PF00557,11,9,Metallopeptidase family M24
PF05195,5,3,"Aminopeptidase P, N-terminal domain"
PF02705,3,1,K+ potassium transporter
PF12697,44,33,Alpha/beta hydrolase family
PF19420,1,1,"N,N dimethylarginine dimethylhydrolase, eukaryotic"
PF13385,6,2,Concanavalin A-like lectin/glucanases superfamily
PF00535,14,12,Glycosyl transferase family 2
PF13641,12,10,Glycosyltransferase like family 2
PF07993,11,10,Male sterility protein
PF03259,1,0,Roadblock/LC7 domain
PF00504,27,21,Chlorophyll A-B binding protein
PF00849,11,6,RNA pseudouridylate synthase
PF02622,3,1,"Uncharacterized ACR, COG1678"
PF03473,4,3,MOSC domain
PF03476,4,2,MOSC N-terminal beta barrel domain
PF05180,3,1,DNL zinc finger
PF00107,27,26,Zinc-binding dehydrogenase
PF00109,6,5,"Beta-ketoacyl synthase, N-terminal domain"
PF00550,5,6,Phosphopantetheine attachment site
PF00975,3,2,Thioesterase domain
PF02801,4,5,"Beta-ketoacyl synthase, C-terminal domain"
PF13602,18,17,Zinc-binding dehydrogenase
PF14765,1,2,Polyketide synthase dehydratase
PF00501,18,12,AMP-binding enzyme
PF13193,12,10,AMP-binding enzyme C-terminal domain
PF00082,12,11,Subtilase family
PF02225,6,4,PA domain
PF13877,2,1,Potential Monad-binding region of RPAP3
PF15867,1,0,Dynein attachment factor N-terminus
PF00111,10,5,2Fe-2S iron-sulfur cluster binding domain
PF01844,2,2,HNH endonuclease
PF14279,1,1,HNH endonuclease
PF12695,1,0,Alpha/beta hydrolase family
PF20408,2,1,Alpha/beta hydrolase domain
PF06723,6,4,MreB/Mbl protein
PF00012,8,6,Hsp70 protein
PF00122,43,30,E1-E2 ATPase
PF00689,8,6,"Cation transporting ATPase, C-terminus"
PF00690,9,6,"Cation transporter/ATPase, N-terminus"
PF00702,43,32,haloacid dehalogenase-like hydrolase
PF13246,14,9,Cation transport ATPase (P-type)
PF01476,13,8,LysM domain
PF10357,1,1,Domain of Kin17 curved DNA-binding protein
PF18131,1,1,KN17 SH3-like C-terminal domain
PF08282,3,3,haloacid dehalogenase-like hydrolase
PF01408,9,7,"Oxidoreductase family, NAD-binding Rossmann fold"
PF08385,5,5,"Dynein heavy chain, N-terminal region 1"
PF05023,2,1,Phytochelatin synthase
PF06241,6,5,"Castor and Pollux, part of voltage-gated ion channel"
PF02485,3,3,Core-2/I-Branching enzyme
PF00307,3,3,Calponin homology (CH) domain
PF03271,1,1,EB1-like C-terminal motif
PF00168,26,23,C2 domain
PF17047,6,4,Synaptotagmin-like mitochondrial-lipid-binding domain
PF01775,2,1,Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A
PF00097,61,29,"Zinc finger, C3HC4 type (RING finger)"
PF12678,13,7,RING-H2 zinc finger domain
PF13639,54,24,Ring finger domain
PF03803,3,3,Scramblase
PF00149,39,23,Calcineurin-like phosphoesterase
PF00294,11,9,pfkB family carbohydrate kinase
PF00572,4,3,Ribosomal protein L13
PF00312,3,2,Ribosomal protein S15
PF04818,9,6,CID domain
PF01423,11,7,LSM domain
PF09409,6,4,PUB domain
PF01951,1,1,Archease protein family (MTH1598/TM1083)
PF00438,1,1,"S-adenosylmethionine synthetase, N-terminal domain"
PF02772,1,1,"S-adenosylmethionine synthetase, central domain"
PF02773,1,1,"S-adenosylmethionine synthetase, C-terminal domain"
PF03034,1,1,Phosphatidyl serine synthase
PF08449,6,4,UAA transporter family
PF00809,2,3,Pterin binding enzyme
PF02310,1,1,B12 binding domain
PF02574,2,3,Homocysteine S-methyltransferase
PF02607,1,1,B12 binding domain
PF02965,1,1,"Vitamin B12 dependent methionine synthase, activation domain"
PF10243,1,1,Microtubule-binding protein MIP-T3 CH-like domain
PF17749,1,1,Microtubule-binding protein MIP-T3 C-terminal region
PF10441,2,1,Urb2/Npa2 family
PF03199,1,1,Eukaryotic glutathione synthase
PF03917,1,1,"Eukaryotic glutathione synthase, ATP binding domain"
PF07690,56,44,Major Facilitator Superfamily
PF04536,5,2,TPM domain
PF13445,34,17,RING-type zinc-finger
PF13920,40,14,"Zinc finger, C3HC4 type (RING finger)"
PF13923,48,17,"Zinc finger, C3HC4 type (RING finger)"
PF14634,14,4,zinc-RING finger domain
PF17175,1,1,Modulator of levamisole receptor-1
