GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
GTX0536PRED_000001	GTX0536_1:24801-31916	-	884	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000002	GTX0536_1:33728-37329	-	638	hypothetical protein											GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037 heme binding; GO:0005506 iron ion binding; GO:0004497 monooxygenase activity		
GTX0536PRED_000003	GTX0536_1:37821-42972	-	695	Nuclear/nucleolar GTPase 2											GO:0005730 nucleolus; GO:0005525 GTP binding		
GTX0536PRED_000004	GTX0536_1:43258-50899	+	1319	hypothetical protein											GO:0005525 GTP binding		
GTX0536PRED_000005	GTX0536_1:51651-54147	+	356	hypothetical protein											GO:0016297 acyl-[acyl-carrier-protein] hydrolase activity; GO:0016790 thiolester hydrolase activity; GO:0006633 fatty acid biosynthetic process		
GTX0536PRED_000006	GTX0536_1:54935-57101	+	321	hypothetical protein													
GTX0536PRED_000007	GTX0536_1:58379-59803	-	394	hypothetical protein													
GTX0536PRED_000008	GTX0536_1:60002-62093	+	299	hypothetical protein											GO:0097573		
GTX0536PRED_000009	GTX0536_1:62649-66587	+	494	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000010	GTX0536_1:67150-69698	+	268	hypothetical protein											GO:0016491 oxidoreductase activity; GO:0047834 D-threo-aldose 1-dehydrogenase activity		
GTX0536PRED_000011	GTX0536_1:70815-72362	-	259	hypothetical protein											GO:0016020 membrane		
GTX0536PRED_000012	GTX0536_1:73538-75209	-	346	hypothetical protein													
GTX0536PRED_000013	GTX0536_1:76274-80176	-	385	hypothetical protein											GO:0003755 peptidyl-prolyl cis-trans isomerase activity; GO:0005515 protein binding; GO:0000413 protein peptidyl-prolyl isomerization; GO:0006457 protein folding		
GTX0536PRED_000014	GTX0536_1:84865-85351	-	161	hypothetical protein													
GTX0536PRED_000015	GTX0536_1:85665-90489	+	633	hypothetical protein											GO:0003950 NAD+ ADP-ribosyltransferase activity; GO:0006302 double-strand break repair; GO:0006471		
GTX0536PRED_000016	GTX0536_1:91154-92883	-	374	hypothetical protein											GO:0005515 protein binding		
GTX0536PRED_000017	GTX0536_1:93451-102236	-	1000	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0004674 protein serine/threonine kinase activity; GO:0006468 protein phosphorylation; GO:0045292 mRNA cis splicing, via spliceosome		
GTX0536PRED_000018	GTX0536_1:104435-109290	-	562	hypothetical protein													
GTX0536PRED_000019	GTX0536_1:110503-111502	+	332	hypothetical protein													
GTX0536PRED_000020	GTX0536_1:112534-120651	+	1125	hypothetical protein											GO:0006629 lipid metabolic process		
GTX0536PRED_000020	GTX0536_1:112534-118275	+	812	hypothetical protein											GO:0006629 lipid metabolic process		
GTX0536PRED_000021	GTX0536_1:122294-129523	+	994	hypothetical protein											GO:0016791 phosphatase activity; GO:0043169 cation binding		
GTX0536PRED_000022	GTX0536_1:130808-132610	-	246	hypothetical protein													
GTX0536PRED_000022	GTX0536_1:130808-132456	-	199	hypothetical protein													
GTX0536PRED_000022	GTX0536_1:131363-132610	-	214	hypothetical protein													
GTX0536PRED_000023	GTX0536_1:134090-139404	-	441	hypothetical protein											GO:0004379 glycylpeptide N-tetradecanoyltransferase activity; GO:0006499 N-terminal protein myristoylation		
GTX0536PRED_000024	GTX0536_1:140381-140917	+	99	hypothetical protein													
GTX0536PRED_000025	GTX0536_1:141450-144290	-	353	hypothetical protein											GO:0016491 oxidoreductase activity; GO:0047834 D-threo-aldose 1-dehydrogenase activity		
GTX0536PRED_000026	GTX0536_1:145183-148405	-	364	hypothetical protein											GO:0016491 oxidoreductase activity; GO:0047834 D-threo-aldose 1-dehydrogenase activity		
GTX0536PRED_000027	GTX0536_1:149419-149758	-	112	hypothetical protein													
GTX0536PRED_000028	GTX0536_1:155246-163285	+	1871	hypothetical protein													
GTX0536PRED_000029	GTX0536_1:165328-170761	-	627	hypothetical protein											GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds		
