Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein CVIRNUC_001807 [Coccomyxa viridis],Coccomyxa viridis,395,395,93%,1e-131,54.02,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK0748009.1?report=genbank&log$=prottop&blast_rank=1&RID=ZV2Y8080016"",""CAK0748009.1"")"
hypothetical protein WJX74_008920 [Apatococcus lobatus],Apatococcus lobatus,387,387,83%,1e-127,57.45,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9816229.1?report=genbank&log$=prottop&blast_rank=2&RID=ZV2Y8080016"",""KAK9816229.1"")"
g759 [Coccomyxa viridis],Coccomyxa viridis,384,384,85%,3e-127,59.09,450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL5219004.1?report=genbank&log$=prottop&blast_rank=3&RID=ZV2Y8080016"",""CAL5219004.1"")"
Sulfite efflux pump SSU1 [Coccomyxa sp. Obi],Coccomyxa sp. Obi,382,382,93%,5e-127,53.44,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDA50428.1?report=genbank&log$=prottop&blast_rank=4&RID=ZV2Y8080016"",""BDA50428.1"")"
hypothetical protein WJX73_010716 [Symbiochloris irregularis],Symbiochloris irregularis,280,280,72%,3e-88,49.65,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9808311.1?report=genbank&log$=prottop&blast_rank=5&RID=ZV2Y8080016"",""KAK9808311.1"")"
hypothetical protein WJX73_010716 [Symbiochloris irregularis],Symbiochloris irregularis,279,279,72%,7e-88,49.65,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9808310.1?report=genbank&log$=prottop&blast_rank=6&RID=ZV2Y8080016"",""KAK9808310.1"")"
MAG: hypothetical protein EOO61_18395 [Hymenobacter sp.],Hymenobacter sp.,265,265,60%,3e-83,55.79,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RZK31147.1?report=genbank&log$=prottop&blast_rank=7&RID=ZV2Y8080016"",""RZK31147.1"")"
MULTISPECIES: TDT family transporter [Acidithiobacillus],Acidithiobacillus,265,265,89%,5e-81,42.77,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070807677.1?report=genbank&log$=prottop&blast_rank=8&RID=ZV2Y8080016"",""WP_070807677.1"")"
TDT family transporter [Acidithiobacillus sp.],Acidithiobacillus sp.,265,265,89%,5e-81,43.93,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_287763144.1?report=genbank&log$=prottop&blast_rank=9&RID=ZV2Y8080016"",""WP_287763144.1"")"
C4-dicarboxylate transporter/malic acid transport protein [Acidithiobacillus ferrooxidans ATCC 53993],Acidithiobacillus ferrooxidans ATCC 53993,264,264,89%,7e-81,42.77,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACH82304.1?report=genbank&log$=prottop&blast_rank=10&RID=ZV2Y8080016"",""ACH82304.1"")"
TDT family transporter [Acidithiobacillus ferridurans],Acidithiobacillus ferridurans,264,264,89%,8e-81,43.93,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_226822384.1?report=genbank&log$=prottop&blast_rank=11&RID=ZV2Y8080016"",""WP_226822384.1"")"
TDT family transporter [Acidithiobacillus ferrooxidans],Acidithiobacillus ferrooxidans,263,263,89%,1e-80,42.82,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163055472.1?report=genbank&log$=prottop&blast_rank=12&RID=ZV2Y8080016"",""WP_163055472.1"")"
TDT family transporter [Acidithiobacillus sp. 'AMD consortium'],Acidithiobacillus sp. 'AMD consortium',263,263,89%,2e-80,43.39,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_151527958.1?report=genbank&log$=prottop&blast_rank=13&RID=ZV2Y8080016"",""WP_151527958.1"")"
C4-dicarboxylate transporter/malic acid transport protein [Acidithiobacillus ferrooxidans ATCC 23270],Acidithiobacillus ferrooxidans ATCC 23270,261,261,87%,5e-80,43.36,385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACK80479.1?report=genbank&log$=prottop&blast_rank=14&RID=ZV2Y8080016"",""ACK80479.1"")"
MULTISPECIES: TDT family transporter [Acidithiobacillus],Acidithiobacillus,262,262,89%,6e-80,43.10,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_113526121.1?report=genbank&log$=prottop&blast_rank=15&RID=ZV2Y8080016"",""WP_113526121.1"")"
TDT family transporter [Acidithiobacillus ferrooxidans],Acidithiobacillus ferrooxidans,262,262,89%,6e-80,43.06,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_215853137.1?report=genbank&log$=prottop&blast_rank=16&RID=ZV2Y8080016"",""WP_215853137.1"")"
TDT family transporter [Acidithiobacillus ferrooxidans],Acidithiobacillus ferrooxidans,261,261,89%,9e-80,42.77,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDD2746607.1?report=genbank&log$=prottop&blast_rank=17&RID=ZV2Y8080016"",""MDD2746607.1"")"
TDT family transporter [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,261,261,89%,1e-79,42.77,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4526331.1?report=genbank&log$=prottop&blast_rank=18&RID=ZV2Y8080016"",""MCL4526331.1"")"
TDT family transporter [Acidithiobacillus sp.],Acidithiobacillus sp.,259,259,89%,7e-79,42.24,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_297466294.1?report=genbank&log$=prottop&blast_rank=19&RID=ZV2Y8080016"",""WP_297466294.1"")"
TDT family transporter [Acidithiobacillus sp.],Acidithiobacillus sp.,259,259,89%,8e-79,42.49,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_372602214.1?report=genbank&log$=prottop&blast_rank=20&RID=ZV2Y8080016"",""WP_372602214.1"")"
TDT family transporter [Candidatus Dormiibacterota bacterium],Candidatus Dormiibacterota bacterium,257,257,94%,3e-78,41.51,393,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVA38373.1?report=genbank&log$=prottop&blast_rank=21&RID=ZV2Y8080016"",""HVA38373.1"")"
TDT family transporter [Acidithiobacillus sulfuriphilus],Acidithiobacillus sulfuriphilus,255,255,84%,2e-77,44.79,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123105133.1?report=genbank&log$=prottop&blast_rank=22&RID=ZV2Y8080016"",""WP_123105133.1"")"
TDT family transporter [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,255,255,83%,3e-77,45.06,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5980105.1?report=genbank&log$=prottop&blast_rank=23&RID=ZV2Y8080016"",""MCL5980105.1"")"
TDT family transporter [Burkholderia territorii],Burkholderia territorii,253,253,85%,1e-76,42.51,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069230381.1?report=genbank&log$=prottop&blast_rank=24&RID=ZV2Y8080016"",""WP_069230381.1"")"
TDT family transporter [Burkholderia sp. MSMB0856],Burkholderia sp. MSMB0856,250,250,85%,1e-75,42.22,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_059820849.1?report=genbank&log$=prottop&blast_rank=25&RID=ZV2Y8080016"",""WP_059820849.1"")"
TDT family transporter [Burkholderia diffusa],Burkholderia diffusa,249,249,88%,2e-75,41.91,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_321852120.1?report=genbank&log$=prottop&blast_rank=26&RID=ZV2Y8080016"",""WP_321852120.1"")"
MULTISPECIES: TDT family transporter [unclassified Pseudomonas],unclassified Pseudomonas,249,249,93%,3e-75,40.49,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_213627986.1?report=genbank&log$=prottop&blast_rank=27&RID=ZV2Y8080016"",""WP_213627986.1"")"
TDT family transporter [Pseudomonas tohonis],Pseudomonas tohonis,248,248,93%,1e-74,40.49,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_271104569.1?report=genbank&log$=prottop&blast_rank=28&RID=ZV2Y8080016"",""WP_271104569.1"")"
TDT family transporter [Pseudomonas tohonis],Pseudomonas tohonis,248,248,93%,1e-74,40.49,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173175001.1?report=genbank&log$=prottop&blast_rank=29&RID=ZV2Y8080016"",""WP_173175001.1"")"
TDT family transporter [Betaproteobacteria bacterium],Betaproteobacteria bacterium,247,247,93%,1e-74,40.55,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDA8094246.1?report=genbank&log$=prottop&blast_rank=30&RID=ZV2Y8080016"",""MDA8094246.1"")"
TDT family transporter [Pseudomonas tohonis],Pseudomonas tohonis,246,246,93%,4e-74,40.49,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_285960236.1?report=genbank&log$=prottop&blast_rank=31&RID=ZV2Y8080016"",""WP_285960236.1"")"
TDT family transporter [Pseudomonas tohonis],Pseudomonas tohonis,246,246,93%,5e-74,40.76,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_263152231.1?report=genbank&log$=prottop&blast_rank=32&RID=ZV2Y8080016"",""WP_263152231.1"")"
TDT family transporter [Acidithiobacillus sp.],Acidithiobacillus sp.,245,245,89%,2e-73,42.32,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_298168783.1?report=genbank&log$=prottop&blast_rank=33&RID=ZV2Y8080016"",""WP_298168783.1"")"
TDT family transporter [Pseudomonas frederiksbergensis],Pseudomonas frederiksbergensis,244,244,94%,3e-73,40.70,383,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123409058.1?report=genbank&log$=prottop&blast_rank=34&RID=ZV2Y8080016"",""WP_123409058.1"")"
TDT family transporter [Pseudomonas brenneri],Pseudomonas brenneri,242,242,92%,2e-72,39.94,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_314388527.1?report=genbank&log$=prottop&blast_rank=35&RID=ZV2Y8080016"",""WP_314388527.1"")"
TDT family transporter [Pseudomonas sp. IT-P44],Pseudomonas sp. IT-P44,242,242,89%,2e-72,41.53,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_414912062.1?report=genbank&log$=prottop&blast_rank=36&RID=ZV2Y8080016"",""WP_414912062.1"")"
TDT family transporter [Pseudomonas sp. NFACC13-1],Pseudomonas sp. NFACC13-1,241,241,93%,3e-72,40.00,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092257793.1?report=genbank&log$=prottop&blast_rank=37&RID=ZV2Y8080016"",""WP_092257793.1"")"
MULTISPECIES: TDT family transporter [Pseudomonas fluorescens group],Pseudomonas fluorescens group,241,241,92%,3e-72,39.67,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_032859279.1?report=genbank&log$=prottop&blast_rank=38&RID=ZV2Y8080016"",""WP_032859279.1"")"
