Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein ABBQ32_012545 [Trebouxia sp. C0010 RCD-2024],Trebouxia sp. C0010 RCD-2024,126,126,78%,1e-30,69.77,740,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3156272.1?report=genbank&log$=prottop&blast_rank=1&RID=ZWCGJR6D013"",""KAL3156272.1"")"
"hypothetical protein ABBQ32_010814, partial [Trebouxia sp. C0010 RCD-2024]",Trebouxia sp. C0010 RCD-2024,114,114,60%,1e-29,75.76,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3160509.1?report=genbank&log$=prottop&blast_rank=2&RID=ZWCGJR6D013"",""KAL3160509.1"")"
hypothetical protein ABBQ38_013623 [Trebouxia sp. C0009 RCD-2024],Trebouxia sp. C0009 RCD-2024,111,111,85%,2e-25,54.84,830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3149798.1?report=genbank&log$=prottop&blast_rank=3&RID=ZWCGJR6D013"",""KAL3149798.1"")"
hypothetical protein ABBQ32_000863 [Trebouxia sp. C0010 RCD-2024],Trebouxia sp. C0010 RCD-2024,91.7,91.7,64%,5e-21,62.86,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3146633.1?report=genbank&log$=prottop&blast_rank=4&RID=ZWCGJR6D013"",""KAL3146633.1"")"
g4503 [Coccomyxa elongata],Coccomyxa elongata,82.0,82.0,84%,4e-15,45.65,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL8464968.1?report=genbank&log$=prottop&blast_rank=5&RID=ZWCGJR6D013"",""CAL8464968.1"")"
hypothetical protein ABBQ32_010742 [Trebouxia sp. C0010 RCD-2024],Trebouxia sp. C0010 RCD-2024,76.6,76.6,57%,1e-14,57.14,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3160418.1?report=genbank&log$=prottop&blast_rank=6&RID=ZWCGJR6D013"",""KAL3160418.1"")"
hypothetical protein WJX79_006954 [Trebouxia sp. C0005],Trebouxia sp. C0005,65.9,65.9,35%,2e-09,69.23,628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0032738.1?report=genbank&log$=prottop&blast_rank=7&RID=ZWCGJR6D013"",""KAL0032738.1"")"
hypothetical protein WJX75_006730 [Coccomyxa subellipsoidea],Coccomyxa subellipsoidea,57.8,57.8,73%,1e-06,40.00,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9904204.1?report=genbank&log$=prottop&blast_rank=8&RID=ZWCGJR6D013"",""KAK9904204.1"")"
hypothetical protein ABBQ38_010360 [Trebouxia sp. C0009 RCD-2024],Trebouxia sp. C0009 RCD-2024,51.6,51.6,70%,2e-04,35.06,839,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3159973.1?report=genbank&log$=prottop&blast_rank=9&RID=ZWCGJR6D013"",""KAL3159973.1"")"



		


