gene	database	ID	Description	Scientific.Name	Max.Score	E.value	Per..ident	cover	taxid	kingdom	phylum	class	order	family	genus	taxonomy
GTX0536PRED_004195	nt	XM_067640502.1	Cenococcum geophilum 1.58 NAD(P)-binding protein (K441DRAFT_204458), mRNA	Cenococcum geophilum 1.58	362	8e-119	54.76	100	794803	Fungi	Ascomycota	Dothideomycetes	Gloniales	Gloniaceae	Cenococcum	Fungi
GTX0536PRED_004195	nt	XM_044813306.1	Bacidia gigantensis uncharacterized protein (KY384_004803), partial mRNA	Bacidia gigantensis	350	3e-116	53.31	99	2732470	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidia	Fungi
GTX0536PRED_004195	nt	XM_037295801.1	Letharia lupina uncharacterized protein (HO133_004889), partial mRNA	Letharia lupina	348	2e-115	54.63	99	560253	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia	Fungi
GTX0536PRED_004195	nt	XM_003045767.1	Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_32426), partial mRNA	Fusarium vanettenii 77-13-4	339	1e-111	51.04	99	660122	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_038891289.1	Colletotrichum karsti uncharacterized protein (CkaCkLH20_08574), partial mRNA	Colletotrichum karsti	338	1e-111	52.24	99	1095194	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_053052175.1	Fusarium keratoplasticum uncharacterized protein (NCS57_00214000), partial mRNA	Fusarium keratoplasticum	338	2e-111	50.45	99	1328300	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_046272479.2	Fusarium solani uncharacterized protein (MRS44_006792), partial mRNA	Fusarium solani	338	2e-111	50.45	99	169388	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_031163262.1	Fusarium coffeatum uncharacterized protein (FIESC28_09125), partial mRNA	Fusarium coffeatum	337	4e-111	51.51	98	231269	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_060568530.1	Colletotrichum godetiae short-chain dehydrogenase (BDP55DRAFT_544934), partial mRNA	Colletotrichum godetiae	337	5e-111	51.18	100	1209918	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_064805563.1	Saxophila tyrrhenica uncharacterized protein (LTR77_008331), partial mRNA	Saxophila tyrrhenica	336	8e-111	50.75	99	1690608	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Saxophila	Fungi
GTX0536PRED_004195	nt	XM_062817694.1	Exophiala viscosa uncharacterized protein (EDD37DRAFT_646062), partial mRNA	Exophiala viscosa	335	2e-110	54.93	99	2486360	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Fungi
GTX0536PRED_004195	nt	XM_007676929.1	Baudoinia panamericana UAMH 10762 uncharacterized protein (BAUCODRAFT_23481), partial mRNA	Baudoinia panamericana UAMH 10762	333	2e-109	52.37	99	717646	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Baudoinia	Fungi
GTX0536PRED_004195	nt	XM_056210811.1	Didymosphaeria variabile uncharacterized protein (N0V89_002000), partial mRNA	Didymosphaeria variabile	332	3e-109	53.43	99	1932322	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeria	Fungi
