GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
SL003_000001	scaffold_1:411-2903	-	470	hypothetical protein													
SL003_000002	scaffold_1:3313-5855	+	291	hypothetical protein											GO:0016021 membrane; GO:0050291 sphingosine N-acyltransferase activity; GO:0046513 ceramide biosynthetic process		
SL003_000003	scaffold_1:6785-8244	-	152	hypothetical protein													
SL003_000004	scaffold_1:9562-13889	+	384	hypothetical protein											GO:0004550 nucleoside diphosphate kinase activity; GO:0005524 ATP binding; GO:0006241 CTP biosynthetic process; GO:0006165; GO:0006228 UTP biosynthetic process; GO:0006183 GTP biosynthetic process		
SL003_000005	scaffold_1:14463-18082	-	325	hypothetical protein											GO:0055085 transmembrane transport		
SL003_000006	scaffold_1:23163-28292	-	685	hypothetical protein											GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0071704 organic substance metabolic process		
SL003_000007	scaffold_1:30007-32235	-	269	hypothetical protein											GO:0016020 membrane; GO:0015267 channel activity; GO:0015250 water channel activity; GO:0055085 transmembrane transport		
SL003_000008	scaffold_1:32643-37049	+	384	hypothetical protein													
SL003_000009	scaffold_1:37554-42546	-	361	hypothetical protein											GO:0016620 oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0051287 NAD binding; GO:0003942 N-acetyl-gamma-glutamyl-phosphate reductase activity; GO:0046983 protein dimerization activity; GO:0006526 arginine biosynthetic process; GO:0008652 amino acid biosynthetic process		
SL003_000010	scaffold_1:46032-46905	+	290	hypothetical protein													
SL003_000011	scaffold_1:48500-65921	-	1254	hypothetical protein											GO:0008017 microtubule binding; GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0000914 phragmoplast assembly; GO:0006468 protein phosphorylation; GO:0000911 cytokinesis by cell plate formation		
SL003_000012	scaffold_1:67694-71427	+	460	hypothetical protein													
SL003_000013	scaffold_1:71833-75821	+	425	hypothetical protein											GO:0030014 CCR4-NOT complex		
SL003_000014	scaffold_1:76561-77525	+	241	hypothetical protein													
SL003_000015	scaffold_1:79399-80369	+	239	hypothetical protein													
SL003_000016	scaffold_1:81294-89285	-	780	hypothetical protein													
SL003_000017	scaffold_1:91076-96699	+	465	hypothetical protein											GO:0006491 N-glycan processing		
SL003_000018	scaffold_1:116892-123765	+	1358	hypothetical protein													
SL003_000019	scaffold_1:137643-143529	+	704	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_000020	scaffold_1:145885-149368	+	551	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_000021	scaffold_1:151398-152054	-	148	hypothetical protein													
SL003_000022	scaffold_1:156059-157576	+	296	hypothetical protein													
SL003_000023	scaffold_1:158201-167165	-	777	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0005515 protein binding; GO:0006468 protein phosphorylation		
SL003_000024	scaffold_1:169764-171921	-	596	hypothetical protein											GO:0005525 GTP binding; GO:0003924 GTPase activity		
SL003_000025	scaffold_1:173919-176105	+	602	hypothetical protein											GO:0005525 GTP binding; GO:0003924 GTPase activity		
SL003_000026	scaffold_1:177791-180224	+	686	hypothetical protein											GO:0005525 GTP binding; GO:0003924 GTPase activity		
