Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein CVIRNUC_001807 [Coccomyxa viridis],Coccomyxa viridis,395,395,93%,4e-133,54.02,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK0748009.1?report=genbank&log$=prottop&blast_rank=1&RID=ZV3S50D2016"",""CAK0748009.1"")"
hypothetical protein WJX74_008920 [Apatococcus lobatus],Apatococcus lobatus,387,387,83%,5e-129,57.45,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9816229.1?report=genbank&log$=prottop&blast_rank=2&RID=ZV3S50D2016"",""KAK9816229.1"")"
g759 [Coccomyxa viridis],Coccomyxa viridis,384,384,85%,1e-128,59.09,450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL5219004.1?report=genbank&log$=prottop&blast_rank=3&RID=ZV3S50D2016"",""CAL5219004.1"")"
Sulfite efflux pump SSU1 [Coccomyxa sp. Obi],Coccomyxa sp. Obi,382,382,93%,2e-128,53.44,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDA50428.1?report=genbank&log$=prottop&blast_rank=4&RID=ZV3S50D2016"",""BDA50428.1"")"
hypothetical protein WJX73_010716 [Symbiochloris irregularis],Symbiochloris irregularis,280,280,72%,1e-89,49.65,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9808311.1?report=genbank&log$=prottop&blast_rank=5&RID=ZV3S50D2016"",""KAK9808311.1"")"
hypothetical protein WJX73_010716 [Symbiochloris irregularis],Symbiochloris irregularis,279,279,72%,2e-89,49.65,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9808310.1?report=genbank&log$=prottop&blast_rank=6&RID=ZV3S50D2016"",""KAK9808310.1"")"
hypothetical protein WJX75_005365 [Coccomyxa subellipsoidea],Coccomyxa subellipsoidea,238,238,89%,2e-72,37.99,398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9903430.1?report=genbank&log$=prottop&blast_rank=7&RID=ZV3S50D2016"",""KAK9903430.1"")"
C4-dicarboxylate transporter/malic acid transport protein [Coccomyxa subellipsoidea C-169],Coccomyxa subellipsoidea C-169,231,231,90%,1e-69,37.36,398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005647538.1?report=genbank&log$=prottop&blast_rank=8&RID=ZV3S50D2016"",""XP_005647538.1"")"
g5081 [Coccomyxa elongata],Coccomyxa elongata,231,231,87%,3e-69,37.57,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL8465545.1?report=genbank&log$=prottop&blast_rank=9&RID=ZV3S50D2016"",""CAL8465545.1"")"
Sulfite efflux pump SSU1 [Coccomyxa sp. Obi],Coccomyxa sp. Obi,215,215,84%,1e-63,36.86,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDA49925.1?report=genbank&log$=prottop&blast_rank=10&RID=ZV3S50D2016"",""BDA49925.1"")"
hypothetical protein CHLNCDRAFT_35385 [Chlorella variabilis],Chlorella variabilis,211,211,91%,8e-61,36.80,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005847542.1?report=genbank&log$=prottop&blast_rank=11&RID=ZV3S50D2016"",""XP_005847542.1"")"
hypothetical protein OEZ85_002479 [Tetradesmus obliquus],Tetradesmus obliquus,193,193,94%,2e-53,33.33,544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA13908.1?report=genbank&log$=prottop&blast_rank=12&RID=ZV3S50D2016"",""WIA13908.1"")"
methyltransferase [Scenedesmus sp. PABB004],Scenedesmus sp. PABB004,195,195,90%,1e-52,36.59,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8066190.1?report=genbank&log$=prottop&blast_rank=13&RID=ZV3S50D2016"",""KAF8066190.1"")"
hypothetical protein OEZ86_012434 [Tetradesmus obliquus],Tetradesmus obliquus,189,189,85%,3e-52,36.05,523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA34056.1?report=genbank&log$=prottop&blast_rank=14&RID=ZV3S50D2016"",""WIA34056.1"")"
C4-dicarboxylate transporter malic acid transport [Chlorella sorokiniana],Chlorella sorokiniana,184,184,83%,7e-51,34.58,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PRW57960.1?report=genbank&log$=prottop&blast_rank=15&RID=ZV3S50D2016"",""PRW57960.1"")"
hypothetical protein OEZ85_007284 [Tetradesmus obliquus],Tetradesmus obliquus,186,186,89%,2e-50,31.84,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA13733.1?report=genbank&log$=prottop&blast_rank=16&RID=ZV3S50D2016"",""WIA13733.1"")"
hypothetical protein OEZ85_007283 [Tetradesmus obliquus],Tetradesmus obliquus,175,175,89%,2e-47,33.33,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA13732.1?report=genbank&log$=prottop&blast_rank=17&RID=ZV3S50D2016"",""WIA13732.1"")"
MAG: voltage-dependent anion channel-domain-containing protein [Monoraphidium minutum],Monoraphidium minutum,152,152,87%,2e-38,31.18,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI8477287.1?report=genbank&log$=prottop&blast_rank=18&RID=ZV3S50D2016"",""KAI8477287.1"")"
