,T. sp. A48,T. SL0000003,descriptions
IPR000719,335,237,Protein kinase domain
IPR011009,449,313,Protein kinase-like domain superfamily
IPR001128,33,26,Cytochrome P450
IPR002401,19,17,"Cytochrome P450, E-class, group I"
IPR017972,24,20,"Cytochrome P450, conserved site"
IPR036396,33,27,Cytochrome P450 superfamily
IPR006073,29,23,GTP binding domain
IPR012971,1,1,"Nucleolar GTP-binding protein 2, N-terminal domain"
IPR023179,3,3,"GTP-binding protein, orthogonal bundle domain superfamily"
IPR024929,1,1,"Nucleolar GTP-binding protein 2, circularly permuted GTPase motif"
IPR027417,731,562,P-loop containing nucleoside triphosphate hydrolase
IPR030378,4,3,Circularly permuted (CP)-type guanine nucleotide-binding (G) domain
IPR006703,3,3,AIG1-type guanine nucleotide-binding (G) domain
IPR024283,1,1,"Translocase of chloroplast 159/132, membrane anchor domain"
IPR045058,3,4,GTPase GIMA/IAN/Toc
IPR002864,1,1,Acyl-ACP thioesterase
IPR029069,14,12,HotDog domain superfamily
IPR045023,1,1,Acyl-[acyl-carrier-protein] hydrolase FATA/B
IPR002109,9,7,Glutaredoxin
IPR004480,6,4,Monothiol glutaredoxin-related
IPR033658,5,3,"Glutaredoxin, PICOT-like"
IPR036249,126,96,Thioredoxin-like superfamily
IPR002075,3,2,Nuclear transport factor 2 domain
IPR008271,169,126,"Serine/threonine-protein kinase, active site"
IPR017441,149,99,"Protein kinase, ATP binding site"
IPR018222,3,2,"Nuclear transport factor 2, eukaryote"
IPR032710,21,15,NTF2-like domain superfamily
IPR020471,21,15,Aldo-keto reductase
IPR023210,30,22,NADP-dependent oxidoreductase domain
IPR036812,30,22,NADP-dependent oxidoreductase domain superfamily
IPR005349,1,1,TMEM14 family
IPR044890,1,1,TMEM14 superfamily
IPR000313,14,8,PWWP domain
IPR002130,24,18,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR011990,212,155,Tetratricopeptide-like helical domain superfamily
IPR019734,98,75,Tetratricopeptide repeat
IPR020892,13,10,"Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
IPR029000,26,21,Cyclophilin-like domain superfamily
IPR004102,1,2,"Poly(ADP-ribose) polymerase, regulatory domain"
IPR008893,1,1,WGR domain
IPR012317,11,9,"Poly(ADP-ribose) polymerase, catalytic domain"
IPR031275,1,1,
IPR036616,1,1,"Poly(ADP-ribose) polymerase, regulatory domain superfamily"
IPR036930,1,1,WGR domain superfamily
IPR010402,6,5,CCT domain
IPR044092,1,0,"Serine/threonine-protein PRP4, catalytic domain"
IPR002921,35,29,Fungal lipase-like domain
IPR029058,175,148,Alpha/Beta hydrolase fold
IPR000222,9,8,"PPM-type phosphatase, divalent cation binding"
IPR001932,29,25,PPM-type phosphatase-like domain
IPR036457,31,26,PPM-type phosphatase-like domain superfamily
IPR001623,61,44,DnaJ domain
IPR036869,65,48,Chaperone J-domain superfamily
IPR000903,1,2,Glycylpeptide N-tetradecanoyltransferase
IPR016181,48,32,Acyl-CoA N-acyltransferase
IPR022676,1,2,"Glycylpeptide N-tetradecanoyltransferase, N-terminal"
IPR022677,1,1,"Glycylpeptide N-tetradecanoyltransferase, C-terminal"
IPR022678,1,1,"Glycylpeptide N-tetradecanoyltransferase, conserved site"
IPR019329,1,1,"NADH:ubiquinone oxidoreductase, ESSS subunit"
IPR018170,15,11,"Aldo/keto reductase, conserved site"
IPR011059,11,5,"Metal-dependent hydrolase, composite domain superfamily"
IPR013108,3,4,Amidohydrolase 3
IPR032466,22,10,Metal-dependent hydrolase
IPR033932,2,1,YtcJ like
IPR002937,15,13,Amine oxidase
IPR036188,99,81,FAD/NAD(P)-binding domain superfamily
IPR010658,1,1,Nodulin-like
IPR036259,84,73,MFS transporter superfamily
IPR011107,1,0,Type 1 protein phosphatase inhibitor
IPR001147,1,1,Ribosomal protein L21e
IPR008991,16,13,Translation protein SH3-like domain superfamily
IPR018259,1,1,"Ribosomal protein L21e, conserved site"
IPR036948,1,1,Ribosomal protein L21 superfamily
IPR000573,2,1,"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain"
IPR011827,1,0,Hydrolyase LeuD/HacB/DmdB
IPR015928,2,1,"Aconitase/3-isopropylmalate dehydratase, swivel"
IPR033940,1,0,"3-isopropylmalate dehydratase, swivel domain"
IPR016040,21,19,NAD(P)-binding domain
