accession	taxid	description	kingdom	phylum	class	domain	contig
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000001l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000003l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000004l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000008l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000009l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000010l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000011l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000012l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000014l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000016l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000018l
OK513182.1	2894000	MAG: Umbilicaria phaea caulimovirus-like 1 isolate Uphae_Uph16 genomic sequence	Pararnavirae	Artverviricota	Revtraviricetes	NA	ptg000020l
LC589201.1	173387	Drosera adelae 2020-NA01 TUBB mRNA for tubulin beta chain, partial sequence	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
XM_021812358.1	3981	PREDICTED: Hevea brasiliensis tubulin beta chain (LOC110655878), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
MT439019.1	1825957	Trebouxia lynnae strain TR9 putative extracellular protein TR9_071a mRNA, partial cds	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000001l
XM_042601639.1	94328	PREDICTED: Zingiber officinale tubulin beta chain-like (LOC122041816), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
XM_042606976.1	94328	PREDICTED: Zingiber officinale tubulin beta chain-like (LOC122046337), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
LR792836.1	1010633	Digitaria exilis annotation	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
LR761621.1	1010633	Digitaria exilis genome assembly, chromosome: 9A	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
LR994620.1	1010633	Digitaria exilis genome assembly, chromosome: 9A	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
XM_010273604.2	4432	PREDICTED: Nelumbo nucifera tubulin beta-1 chain (LOC104607854), transcript variant X2, mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000001l
MK005126.1	300845	Trebouxia decolorans isolate S2RM-16 18S ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000002l
MK005126.1	300845	Trebouxia decolorans isolate S2RM-16 18S ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
JX169843.1	1229085	Uncultured Trebouxia clone GOGs_18S_K02 18S ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000002l
JQ627444.1	171245	Uncultured Chlorophyta clone RP2_6_1E_170 small subunit ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	NA	Eukaryota	ptg000002l
JQ627443.1	171245	Uncultured Chlorophyta clone RP2_6_1E_10 small subunit ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	NA	Eukaryota	ptg000002l
