Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Trebouxia decolorans clone contig_45971 putative oxidoreductase-like gene, partial sequence",Trebouxia decolorans,239,239,39%,1e-75,86.36,635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF573969.1?report=genbank&log$=nucltop&blast_rank=1&RID=ZV48DA1N016"",""KF573969.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122051872), transcript variant X1, mRNA",Zingiber officinale,174,174,95%,7e-48,38.58,1209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042613183.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZV48DA1N016"",""XM_042613183.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122056400), mRNA",Zingiber officinale,172,172,95%,2e-47,38.27,1240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042618332.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZV48DA1N016"",""XM_042618332.1"")"
"Cryptomeria japonica mRNA, clone: CMFL045_L13, expressed in male strobili",Cryptomeria japonica,172,172,95%,3e-47,35.67,1205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AK414095.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZV48DA1N016"",""AK414095.1"")"
"PREDICTED: Dioscorea cayenensis subsp. rotundata short-chain dehydrogenase TIC 32, chloroplastic-like (LOC120256827), transcript variant X1, mRNA",Dioscorea cayenensis subsp. rotundata,171,171,87%,8e-47,36.39,1249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039264495.1?report=genbank&log$=nucltop&blast_rank=5&RID=ZV48DA1N016"",""XM_039264495.1"")"
"Cryptomeria japonica mRNA, clone: CSFL012_B17, expressed in reproductive shoots",Cryptomeria japonica,172,172,95%,1e-46,35.67,1415,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AK415451.1?report=genbank&log$=nucltop&blast_rank=6&RID=ZV48DA1N016"",""AK415451.1"")"
"PREDICTED: Dioscorea cayenensis subsp. rotundata short-chain dehydrogenase TIC 32, chloroplastic-like (LOC120256827), transcript variant X3, misc_RNA",Dioscorea cayenensis subsp. rotundata,171,171,87%,1e-46,36.39,1298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_005535423.1?report=genbank&log$=nucltop&blast_rank=7&RID=ZV48DA1N016"",""XR_005535423.1"")"
"PREDICTED: Dioscorea cayenensis subsp. rotundata short-chain dehydrogenase TIC 32, chloroplastic-like (LOC120256827), transcript variant X2, misc_RNA",Dioscorea cayenensis subsp. rotundata,171,171,87%,1e-46,36.39,1309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_005535422.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZV48DA1N016"",""XR_005535422.1"")"
"PREDICTED: Cryptomeria japonica short-chain dehydrogenase TIC 32, chloroplastic (LOC131026660), mRNA",Cryptomeria japonica,172,172,95%,2e-46,35.67,1475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_057956583.2?report=genbank&log$=nucltop&blast_rank=9&RID=ZV48DA1N016"",""XM_057956583.2"")"
"PREDICTED: Dioscorea cayenensis subsp. rotundata short-chain dehydrogenase TIC 32, chloroplastic-like (LOC120256827), transcript variant X4, mRNA",Dioscorea cayenensis subsp. rotundata,169,169,87%,5e-46,36.05,1243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039264496.1?report=genbank&log$=nucltop&blast_rank=10&RID=ZV48DA1N016"",""XM_039264496.1"")"
"Oryza sativa Japonica Group cDNA clone:J013084L13, full insert sequence",Oryza sativa Japonica Group,170,170,86%,7e-46,39.66,1409,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AK071972.1?report=genbank&log$=nucltop&blast_rank=11&RID=ZV48DA1N016"",""AK071972.1"")"
"PREDICTED: Oryza glaberrima short-chain dehydrogenase TIC 32, chloroplastic-like (LOC127755564), transcript variant X2, mRNA",Oryza glaberrima,170,170,86%,9e-46,39.66,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_052281243.1?report=genbank&log$=nucltop&blast_rank=12&RID=ZV48DA1N016"",""XM_052281243.1"")"
"PREDICTED: Oryza sativa Japonica Group short-chain dehydrogenase TIC 32, chloroplastic (LOC4349945), transcript variant X2, mRNA",Oryza sativa Japonica Group,170,170,86%,1e-45,39.66,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015759643.2?report=genbank&log$=nucltop&blast_rank=13&RID=ZV48DA1N016"",""XM_015759643.2"")"
"PREDICTED: Ananas comosus short-chain dehydrogenase TIC 32, chloroplastic-like (LOC109723264), transcript variant X3, mRNA",Ananas comosus,169,169,95%,2e-45,35.47,1350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020251582.1?report=genbank&log$=nucltop&blast_rank=14&RID=ZV48DA1N016"",""XM_020251582.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122051872), transcript variant X2, mRNA",Zingiber officinale,166,166,86%,2e-45,39.38,1165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042613184.1?report=genbank&log$=nucltop&blast_rank=15&RID=ZV48DA1N016"",""XM_042613184.1"")"
"PREDICTED: Oryza glaberrima short-chain dehydrogenase TIC 32, chloroplastic-like (LOC127755564), transcript variant X1, mRNA",Oryza glaberrima,169,169,86%,2e-45,39.66,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_052281242.1?report=genbank&log$=nucltop&blast_rank=16&RID=ZV48DA1N016"",""XM_052281242.1"")"
"PREDICTED: Trifolium pratense short-chain dehydrogenase TIC 32, chloroplastic-like (LOC123905464), transcript variant X1, mRNA",Trifolium pratense,166,166,95%,4e-45,34.77,1097,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_045955069.1?report=genbank&log$=nucltop&blast_rank=17&RID=ZV48DA1N016"",""XM_045955069.1"")"
"PREDICTED: Ricinus communis short-chain dehydrogenase TIC 32, chloroplastic (LOC8280994), transcript variant X2, mRNA",Ricinus communis,168,168,87%,5e-45,36.27,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002513634.4?report=genbank&log$=nucltop&blast_rank=18&RID=ZV48DA1N016"",""XM_002513634.4"")"
"PREDICTED: Rutidosis leptorrhynchoides short-chain dehydrogenase TIC 32, chloroplastic-like (LOC139839902), transcript variant X3, mRNA",Rutidosis leptorrhynchoides,166,166,87%,7e-45,36.70,1213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_071830109.1?report=genbank&log$=nucltop&blast_rank=19&RID=ZV48DA1N016"",""XM_071830109.1"")"
"PREDICTED: Rutidosis leptorrhynchoides short-chain dehydrogenase TIC 32, chloroplastic-like (LOC139839902), transcript variant X1, mRNA",Rutidosis leptorrhynchoides,166,166,87%,1e-44,36.70,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_071830107.1?report=genbank&log$=nucltop&blast_rank=20&RID=ZV48DA1N016"",""XM_071830107.1"")"
"PREDICTED: Rutidosis leptorrhynchoides short-chain dehydrogenase TIC 32, chloroplastic-like (LOC139839902), transcript variant X2, mRNA",Rutidosis leptorrhynchoides,166,166,87%,1e-44,36.70,1291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_071830108.1?report=genbank&log$=nucltop&blast_rank=21&RID=ZV48DA1N016"",""XM_071830108.1"")"
"PREDICTED: Rutidosis leptorrhynchoides short-chain dehydrogenase TIC 32, chloroplastic-like (LOC139839901), mRNA",Rutidosis leptorrhynchoides,164,164,87%,2e-44,36.70,1225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_071830106.1?report=genbank&log$=nucltop&blast_rank=22&RID=ZV48DA1N016"",""XM_071830106.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122052179), transcript variant X2, mRNA",Zingiber officinale,164,164,95%,3e-44,37.54,1209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042613585.1?report=genbank&log$=nucltop&blast_rank=23&RID=ZV48DA1N016"",""XM_042613585.1"")"
"PREDICTED: Ricinus communis short-chain dehydrogenase TIC 32, chloroplastic (LOC8280994), transcript variant X1, mRNA",Ricinus communis,166,166,87%,4e-44,35.81,1458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015715779.3?report=genbank&log$=nucltop&blast_rank=24&RID=ZV48DA1N016"",""XM_015715779.3"")"
"PREDICTED: Dioscorea cayenensis subsp. rotundata short-chain dehydrogenase TIC 32, chloroplastic-like (LOC120260303), mRNA",Dioscorea cayenensis subsp. rotundata,164,164,87%,4e-44,37.04,1183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039267773.1?report=genbank&log$=nucltop&blast_rank=25&RID=ZV48DA1N016"",""XM_039267773.1"")"
"PREDICTED: Oryza sativa Japonica Group short-chain dehydrogenase TIC 32, chloroplastic (LOC4349945), transcript variant X1, mRNA",Oryza sativa Japonica Group,166,166,86%,4e-44,38.80,1567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015759642.2?report=genbank&log$=nucltop&blast_rank=26&RID=ZV48DA1N016"",""XM_015759642.2"")"
"Oryza sativa Japonica Group cDNA clone:006-310-E10, full insert sequence",Oryza sativa Japonica Group,164,164,88%,4e-44,36.45,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AK061532.1?report=genbank&log$=nucltop&blast_rank=27&RID=ZV48DA1N016"",""AK061532.1"")"
"PREDICTED: Euphorbia lathyris short-chain dehydrogenase TIC 32 B, chloroplastic (LOC136205230), mRNA",Euphorbia lathyris,164,164,96%,6e-44,35.76,1288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_065995736.1?report=genbank&log$=nucltop&blast_rank=28&RID=ZV48DA1N016"",""XM_065995736.1"")"
"Chlorella variabilis hypothetical protein (CHLNCDRAFT_26048) mRNA, complete cds",Chlorella variabilis,161,161,88%,6e-44,35.23,942,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_005845198.1?report=genbank&log$=nucltop&blast_rank=29&RID=ZV48DA1N016"",""XM_005845198.1"")"
