target_id	length	eff_length	est_counts	tpm
GTX0536PRED_000001-T1	3448	3191.58	82	20.3925
GTX0536PRED_000002-T1	2401	2144.58	177	65.5078
GTX0536PRED_000003-T1	2569	2312.58	201	68.986
GTX0536PRED_000004-T1	4411	4154.58	732	139.845
GTX0536PRED_000005-T1	1071	814.584	87	84.7707
GTX0536PRED_000006-T1	966	709.584	38	42.5052
GTX0536PRED_000007-T1	1876	1619.58	1	0.490071
GTX0536PRED_000008-T1	1378	1121.58	170	120.304
GTX0536PRED_000009-T1	1655	1398.58	20	11.3502
GTX0536PRED_000010-T1	1264	1007.58	153	120.524
GTX0536PRED_000011-T1	1332	1075.58	69.4097	51.2198
GTX0536PRED_000012-T1	1041	784.584	0	0
GTX0536PRED_000013-T1	1158	901.584	40	35.2141
GTX0536PRED_000014-T1	486	229.747	0	0
GTX0536PRED_000015-T1	2188	1931.58	103	42.324
GTX0536PRED_000016-T1	1347	1090.58	64	46.5783
GTX0536PRED_000017-T1	3621	3364.58	173	40.811
GTX0536PRED_000018-T1	2060	1803.58	55	24.2041
GTX0536PRED_000019-T1	2023	1766.58	30	13.4787
GTX0536PRED_000020-T1	4062	3805.58	203	42.3387
GTX0536PRED_000020-T2	2977	2720.58	0	0
GTX0536PRED_000021-T1	3498	3241.58	46	11.2632
GTX0536PRED_000022-T1	1038	781.584	0	0
GTX0536PRED_000022-T2	1051	794.584	9	8.99012
GTX0536PRED_000022-T3	899	642.584	0	0
GTX0536PRED_000023-T1	2398	2141.58	120	44.4743
GTX0536PRED_000024-T1	302	64.766	142	1740.22
GTX0536PRED_000025-T1	1264	1007.58	6.59137	5.19227
GTX0536PRED_000026-T1	1095	838.584	1.40863	1.33325
GTX0536PRED_000027-T1	339	91.0724	0	0
GTX0536PRED_000028-T1	5616	5359.58	4	0.592368
GTX0536PRED_000029-T1	2591	2334.58	10	3.3998
GTX0536PRED_000030-T1	1413	1156.58	4	2.74502
GTX0536PRED_000031-T1	696	439.584	0	0
GTX0536PRED_000032-T1	1778	1521.58	10	5.21635
GTX0536PRED_000033-T1	7630	7373.58	20	2.15285
GTX0536PRED_000034-T1	2862	2605.58	25	7.61549
GTX0536PRED_000035-T1	405	150.236	0	0
GTX0536PRED_000036-T1	417	161.528	0	0
GTX0536PRED_000037-T1	1875	1618.58	0	0
GTX0536PRED_000038-T1	3714	3457.58	0.000107096	2.45846e-05
GTX0536PRED_000038-T2	4256	3999.58	6.99989	1.38912
GTX0536PRED_000039-T1	339	91.0724	0	0
GTX0536PRED_000040-T1	873	616.584	14	18.0218
GTX0536PRED_000041-T1	336	88.5059	0	0
GTX0536PRED_000042-T1	273	49.1918	0	0
GTX0536PRED_000043-T1	510	253.675	0	0
GTX0536PRED_000044-T1	213	31.4389	13	328.2
GTX0536PRED_000045-T1	495	238.7	1159	3853.84
GTX0536PRED_000046-T1	1381	1124.58	24.1428	17.0396
GTX0536PRED_000047-T1	1544	1287.58	12.8572	7.92563
GTX0536PRED_000047-T2	1281	1024.58	0	0
GTX0536PRED_000048-T1	8171	7914.58	108	10.8307
GTX0536PRED_000049-T1	666	409.584	0	0
GTX0536PRED_000050-T1	668	411.584	683	1317.12
GTX0536PRED_000051-T1	3192	2935.58	2	0.540752
GTX0536PRED_000052-T1	576	319.584	1	2.48358
GTX0536PRED_000053-T1	771	514.584	5	7.71217
GTX0536PRED_000054-T1	2635	2378.58	4	1.33476
GTX0536PRED_000055-T1	911	654.584	205	248.571
GTX0536PRED_000056-T1	1623	1366.58	434	252.067
GTX0536PRED_000057-T1	1089	832.584	3262	3109.7
