GeneID	TranscriptID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias.Synonyms	EC_number	BUSCO	PFAM	InterPro	COG	GO.Terms	Protease	CAZyme
GTX0536PRED_000096	GTX0536PRED_000096-T1	mRNA	GTX0536_1	515648	516630	+		hypothetical protein	NA	NA				NA			
GTX0536PRED_000213	GTX0536PRED_000213-T2	mRNA	GTX0536_1	1201979	1204223	+		hypothetical protein	NA	NA				NA			
GTX0536PRED_000420	GTX0536PRED_000420-T1	mRNA	GTX0536_1	2411817	2413393	+		hypothetical protein	NA	NA		PF03227	IPR004911 Gamma interferon inducible lysosomal thiol reductase GILT;IPR036249 Thioredoxin-like superfamily	NA	GO_function: GO:0016671 - oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [Evidence IEA]		
GTX0536PRED_000432	GTX0536PRED_000432-T1	mRNA	GTX0536_1	2470210	2472658	-		hypothetical protein	NA	NA				NA			
GTX0536PRED_000745	GTX0536PRED_000745-T1	mRNA	GTX0536_1	4294967	4296048	+		hypothetical protein	NA	NA				NA			
GTX0536PRED_000843	GTX0536PRED_000843-T1	mRNA	GTX0536_1	4975893	4978088	+		hypothetical protein	NA	NA		PF04488	IPR007577 Glycosyltransferase, DXD sugar-binding motif;IPR029044 Nucleotide-diphospho-sugar transferases	NA			GT32
GTX0536PRED_000902	GTX0536PRED_000902-T1	mRNA	GTX0536_1	5293099	5295096	+		hypothetical protein	NA	NA				NA			
GTX0536PRED_000999	GTX0536PRED_000999-T1	mRNA	GTX0536_1	5789620	5792442	+		hypothetical protein	NA	NA				NA			
GTX0536PRED_001000	GTX0536PRED_001000-T1	mRNA	GTX0536_1	5794635	5799786	+		hypothetical protein	NA	NA				NA			
GTX0536PRED_001172	GTX0536PRED_001172-T1	mRNA	GTX0536_2	71091	73803	-		hypothetical protein	NA	NA				NA			
GTX0536PRED_001172	GTX0536PRED_001172-T2	mRNA	GTX0536_2	71091	73803	-		hypothetical protein	NA	NA				NA			
GTX0536PRED_001317	GTX0536PRED_001317-T1	mRNA	GTX0536_2	848467	849241	+		hypothetical protein	NA	NA		PF00085	IPR005788 Disulphide isomerase;IPR013766 Thioredoxin domain;IPR017937 Thioredoxin, conserved site;IPR036249 Thioredoxin-like superfamily	NA	GO_function: GO:0003756 - protein disulfide isomerase activity [Evidence IEA]		
GTX0536PRED_001348	GTX0536PRED_001348-T1	mRNA	GTX0536_2	1005423	1007240	-		hypothetical protein	NA	NA		PF12697	IPR000073 Alpha/beta hydrolase fold-1;IPR029058 Alpha/Beta hydrolase fold	NA		S33	
GTX0536PRED_001674	GTX0536PRED_001674-T1	mRNA	GTX0536_2	2523037	2525408	+		hypothetical protein	NA	NA		PF00081;PF02777	IPR001189 Manganese/iron superoxide dismutase;IPR019831 Manganese/iron superoxide dismutase, N-terminal;IPR019832 Manganese/iron superoxide dismutase, C-terminal;IPR019833 Manganese/iron superoxide dismutase, binding site;IPR036314 Manganese/iron superoxide dismutase, C-terminal domain superfamily;IPR036324 Manganese/iron superoxide dismutase, N-terminal domain superfamily	NA	GO_function: GO:0046872 - metal ion binding [Evidence IEA];GO_function: GO:0004784 - superoxide dismutase activity [Evidence IEA];GO_process: GO:0006801 - superoxide metabolic process [Evidence IEA]		
GTX0536PRED_002088	GTX0536PRED_002088-T1	mRNA	GTX0536_2	4502167	4505000	-		hypothetical protein	NA	NA		PF00085;PF07749;PF13098	IPR005788 Disulphide isomerase;IPR011679 Endoplasmic reticulum resident protein 29, C-terminal;IPR013766 Thioredoxin domain;IPR017937 Thioredoxin, conserved site;IPR036249 Thioredoxin-like superfamily;IPR036356 Endoplasmic reticulum resident protein 29, C-terminal domain superfamily	NA	GO_component: GO:0005783 - endoplasmic reticulum [Evidence IEA];GO_function: GO:0003756 - protein disulfide isomerase activity [Evidence IEA]		
