target_id	length	eff_length	est_counts	tpm
GTX0536PRED_000001-T1	3448	3215.01	1790	30.2674
GTX0536PRED_000002-T1	2401	2168.01	2256	56.5695
GTX0536PRED_000003-T1	2569	2336.01	1806	42.0288
GTX0536PRED_000004-T1	4411	4178.01	4010	52.177
GTX0536PRED_000005-T1	1071	838.008	891	57.8007
GTX0536PRED_000006-T1	966	733.049	457	33.8912
GTX0536PRED_000007-T1	1876	1643.01	1	0.0330875
GTX0536PRED_000008-T1	1378	1145.01	942	44.7246
GTX0536PRED_000009-T1	1655	1422.01	603	23.0526
GTX0536PRED_000010-T1	1264	1031.01	3314	174.741
GTX0536PRED_000011-T1	1332	1099.01	444.252	21.9752
GTX0536PRED_000012-T1	1041	808.008	0	0
GTX0536PRED_000013-T1	1158	925.008	820	48.1917
GTX0536PRED_000014-T1	486	253.552	2	0.428811
GTX0536PRED_000015-T1	2188	1955.01	872	24.2478
GTX0536PRED_000016-T1	1347	1114.01	277	13.5175
GTX0536PRED_000017-T1	3621	3388.01	3694	59.2729
GTX0536PRED_000018-T1	2060	1827.01	727	21.6321
GTX0536PRED_000019-T1	2023	1790.01	797	24.2051
GTX0536PRED_000020-T1	4062	3829.01	2873.23	40.7932
GTX0536PRED_000020-T2	2977	2744.01	53.7688	1.06524
GTX0536PRED_000021-T1	3498	3265.01	732	12.1879
GTX0536PRED_000022-T1	1038	805.008	208.319	14.068
GTX0536PRED_000022-T2	1051	818.008	532.639	35.398
GTX0536PRED_000022-T3	899	666.086	28.0417	2.28864
GTX0536PRED_000023-T1	2398	2165.01	2169.53	54.4767
GTX0536PRED_000024-T1	302	77.9209	1060	739.53
GTX0536PRED_000025-T1	1264	1031.01	214	11.2838
GTX0536PRED_000026-T1	1095	862.008	723	45.5964
GTX0536PRED_000027-T1	339	110.168	826	407.596
GTX0536PRED_000028-T1	5616	5383.01	16	0.161584
GTX0536PRED_000029-T1	2591	2358.01	367	8.46106
GTX0536PRED_000030-T1	1413	1180.01	375	17.2763
GTX0536PRED_000031-T1	696	463.252	144	16.8985
GTX0536PRED_000032-T1	1778	1545.01	565	19.8802
GTX0536PRED_000033-T1	7630	7397.01	9521	69.973
GTX0536PRED_000034-T1	2862	2629.01	1962	40.5705
GTX0536PRED_000035-T1	405	173.355	0	0
GTX0536PRED_000036-T1	417	185.201	10	2.93535
GTX0536PRED_000037-T1	1875	1642.01	195	6.45599
GTX0536PRED_000038-T1	3714	3481.01	31.6327	0.494009
GTX0536PRED_000038-T2	4256	4023.01	190.367	2.57244
GTX0536PRED_000039-T1	339	110.168	328	161.854
GTX0536PRED_000040-T1	873	640.157	1387	117.786
GTX0536PRED_000041-T1	336	107.512	115	58.1493
GTX0536PRED_000042-T1	273	57.1263	161	153.212
GTX0536PRED_000043-T1	510	277.469	445	87.1866
GTX0536PRED_000044-T1	213	31.9781	689	1171.31
GTX0536PRED_000045-T1	495	262.483	8172	1692.51
GTX0536PRED_000046-T1	1381	1148.01	1675	79.3183
GTX0536PRED_000047-T1	1544	1311.01	450.294	18.6722
GTX0536PRED_000047-T2	1281	1048.01	44.7077	2.31911
GTX0536PRED_000048-T1	8171	7938.01	3128	21.422
GTX0536PRED_000049-T1	666	433.277	634	79.5478
GTX0536PRED_000050-T1	668	435.277	2458	306.987
GTX0536PRED_000051-T1	3192	2959.01	66	1.21256
GTX0536PRED_000052-T1	576	343.318	5	0.79173
GTX0536PRED_000053-T1	771	538.225	400	40.4018
GTX0536PRED_000054-T1	2635	2402.01	766	17.3364
GTX0536PRED_000055-T1	911	678.086	2312	185.356
GTX0536PRED_000056-T1	1623	1390.01	4438	173.57
GTX0536PRED_000057-T1	1089	856.008	8685	551.564
GTX0536PRED_000058-T1	7803	7570.01	1611	11.5692
GTX0536PRED_000059-T1	879	646.157	14.0299	1.18038
GTX0536PRED_000060-T1	2399	2166.01	38.7469	0.97248
GTX0536PRED_000060-T2	2711	2478.01	9.2531	0.202996
GTX0536PRED_000061-T1	303	78.757	1048	723.396
GTX0536PRED_000062-T1	2659	2426.01	1306.43	29.275
GTX0536PRED_000063-T1	3421	3188.01	3069	52.3337
GTX0536PRED_000064-T1	2051	1818.01	1396	41.7439
GTX0536PRED_000065-T1	1527	1294.01	650	27.3074
GTX0536PRED_000066-T1	3023	2790.01	398.884	7.77221
GTX0536PRED_000066-T2	1699	1466.01	163.116	6.04874
GTX0536PRED_000067-T1	4410	4177.01	37	0.481549
GTX0536PRED_000068-T1	690	457.277	398	47.316
GTX0536PRED_000069-T1	276	59.016	81	74.6138
GTX0536PRED_000070-T1	972	739.049	429	31.5564
GTX0536PRED_000071-T1	1014	781.008	465.643	32.4117
GTX0536PRED_000072-T1	351	121.282	54	24.2048
GTX0536PRED_000073-T1	915	682.049	844	67.2714
GTX0536PRED_000074-T1	2658	2425.01	1309	29.3447
GTX0536PRED_000075-T1	1736	1503.01	1009	36.495
GTX0536PRED_000076-T1	4646	4413.01	42.9152	0.528665
GTX0536PRED_000076-T2	4052	3819.01	46.0848	0.65601
GTX0536PRED_000077-T1	2163	1930.01	91.1955	2.56873
GTX0536PRED_000077-T2	2247	2014.01	113.958	3.07601
GTX0536PRED_000077-T3	1429	1196.01	20.8465	0.947553
GTX0536PRED_000078-T1	1587	1354.01	135	5.42021
GTX0536PRED_000079-T1	2992	2759.01	5107	100.627
GTX0536PRED_000080-T1	3625	3392.01	674	10.8021
GTX0536PRED_000081-T1	1871	1638.01	446	14.8021
GTX0536PRED_000082-T1	1176	943.008	2343	135.071
GTX0536PRED_000083-T1	2998	2765.01	77	1.5139
GTX0536PRED_000084-T1	2912	2679.01	438	8.888
GTX0536PRED_000085-T1	1107	874.008	354	22.0187
GTX0536PRED_000086-T1	1842	1609.01	166	5.60859
GTX0536PRED_000087-T1	945	712.049	629	48.0225
GTX0536PRED_000088-T1	979	746.049	21	1.53023
GTX0536PRED_000089-T1	1734	1501.01	45	1.6298
GTX0536PRED_000090-T1	3764	3531.01	326	5.01906
GTX0536PRED_000091-T1	1325	1092.01	190	9.4587
GTX0536PRED_000092-T1	1872	1639.01	533.475	17.6944
GTX0536PRED_000093-T1	1472	1239.01	310.525	13.6247
GTX0536PRED_000094-T1	558	325.318	15.656	2.61623
GTX0536PRED_000094-T2	991	758.008	43.344	3.10856
GTX0536PRED_000095-T1	678	445.277	6	0.73253
GTX0536PRED_000096-T1	736	503.225	108.762	11.7495
GTX0536PRED_000097-T1	2250	2017.01	227.025	6.11884
GTX0536PRED_000097-T2	2599	2366.01	729.975	16.7724
GTX0536PRED_000098-T1	1413	1180.01	1325	61.0428
GTX0536PRED_000099-T1	1372	1139.01	17	0.811383
GTX0536PRED_000100-T1	369	138.466	0	0
GTX0536PRED_000101-T1	2355	2122.01	114	2.92053
GTX0536PRED_000102-T1	826	593.225	118	10.8135
GTX0536PRED_000103-T1	1869	1636.01	706	23.4597
GTX0536PRED_000104-T1	5274	5041.01	1986.73	21.4252
GTX0536PRED_000104-T2	5542	5309.01	24.2711	0.248531
