contigName	contigLen	totalAvgDepth	GTX0536.bam	GTX0536.bam-var
ptg000001l	3.17453e+06	207.05	207.05	403.636
ptg000002l	6.61213e+06	210.338	210.338	1308.39
ptg000003l	3.7196e+06	209.781	209.781	561.708
ptg000004l	3.03012e+06	209.7	209.7	847.489
ptg000005c	320516	2246.66	2246.66	743153
ptg000006l	2.96224e+06	205.66	205.66	451.063
ptg000007l	2.56182e+06	191.713	191.713	829.347
ptg000008l	2.21222e+06	196.709	196.709	399.669
ptg000009l	4.49618e+06	204.384	204.384	381.741
ptg000010l	4.18109e+06	206.135	206.135	370.996
ptg000011l	2.09106e+06	202.085	202.085	348.273
ptg000012l	5.63807e+06	206.566	206.566	391.59
ptg000013l	3.92869e+06	206.399	206.399	427.741
ptg000014l	3.28926e+06	203.532	203.532	630.67
ptg000015l	3.31104e+06	207.419	207.419	386.138
ptg000016l	4.93104e+06	208.4	208.4	381.935
ptg000017l	4.1252e+06	206.542	206.542	469.969
ptg000018l	3.10549e+06	208.974	208.974	329.079
ptg000019l	2.92564e+06	390.164	390.164	254346
ptg000020l	2.33994e+06	205.062	205.062	344.72
ptg000021l	99058	202.727	202.727	17269
ptg000022l	196984	315.189	315.189	65145.5
ptg000023l	990571	181.559	181.559	1170.32
ptg000024l	153326	299.115	299.115	79378
ptg000025l	188553	174.769	174.769	21661.2
ptg000026l	155048	332.057	332.057	87230.9
ptg000027l	90141	190.822	190.822	6244.65
ptg000028l	154253	245.286	245.286	62158.7
ptg000029l	64010	81.468	81.468	5396.99
ptg000030l	107436	207.912	207.912	3137.07
ptg000031l	60740	164.271	164.271	5670.63
ptg000032l	69686	178.677	178.677	5337.32
ptg000033l	81265	168.492	168.492	5146.69
ptg000034l	101085	158.845	158.845	4727.8
ptg000035l	95329	101.26	101.26	3346.57
ptg000036l	86629	120.04	120.04	3403.68
ptg000037l	169472	137.451	137.451	10645.1
ptg000038l	61558	127.634	127.634	2677.88
ptg000039l	63645	256.409	256.409	16446.3
ptg000040l	109613	161.765	161.765	8894.35
ptg000041l	138317	103.156	103.156	1481.43
ptg000042l	73425	88.6883	88.6883	1196.41
ptg000043l	58867	130.243	130.243	2540.18
ptg000044l	68295	172.604	172.604	2202.84
ptg000045l	57559	156.618	156.618	3562.78
ptg000046l	63357	150.367	150.367	4905.67
ptg000047l	113479	231.403	231.403	15031.7
ptg000048l	46652	59.9588	59.9588	1069.03
ptg000049l	48973	175.914	175.914	5791.24
ptg000050l	47060	136.319	136.319	3912.85
ptg000051l	41061	266.404	266.404	27493.2
ptg000052l	63148	172.752	172.752	4096.66
ptg000053l	67389	149.939	149.939	6219.78
ptg000054l	204110	131.514	131.514	24223.6
ptg000055l	57561	139.299	139.299	3783.27
ptg000056l	50095	112.1	112.1	1913.91
ptg000057l	41238	148.364	148.364	2770.9
ptg000058l	57544	173.097	173.097	17939.4
ptg000059l	53542	145.623	145.623	2920.27
ptg000060l	49953	156.485	156.485	4138.11
ptg000061l	75337	215.382	215.382	10068.4
ptg000062l	36583	179.49	179.49	23512.9
ptg000063l	51012	205.087	205.087	7328.96
ptg000064l	44058	69.8467	69.8467	1245.68
ptg000065l	49684	59.3707	59.3707	410.63
ptg000066l	66272	112.116	112.116	2647.74
ptg000067l	38305	205.514	205.514	6583.38
ptg000068l	56736	116.438	116.438	3062.11
ptg000069l	40371	87.3885	87.3885	5139.24
ptg000070l	45777	199.282	199.282	6219.04
ptg000071l	41660	125.27	125.27	2522.35
ptg000072l	45876	111.46	111.46	3983.28
ptg000073l	47085	109.207	109.207	2069.01
ptg000074l	44169	161.867	161.867	3587.79
ptg000075l	38717	127.108	127.108	3044.45
ptg000076l	60093	164.959	164.959	3492.29
ptg000077l	39169	105.978	105.978	1290.27
ptg000078l	39659	164.557	164.557	3314.83
ptg000079l	38448	123.066	123.066	2227.29
ptg000080l	32076	108.023	108.023	1063.07
ptg000081l	29493	183.85	183.85	7623.34
ptg000082l	47469	157.157	157.157	2222.61
ptg000083l	43000	107.23	107.23	2435.72
ptg000084l	43143	120.57	120.57	1229.63
ptg000085l	35512	101.406	101.406	1891.09
ptg000086l	52668	193.363	193.363	9366.11
ptg000087l	49623	117.462	117.462	2159.09
ptg000088l	43089	122.16	122.16	1514.44
ptg000089l	34597	111.76	111.76	2392.82
ptg000090l	31140	101.97	101.97	1641.61
ptg000091l	36516	72.1475	72.1475	1105.76
ptg000092l	43355	112.511	112.511	3076.11
ptg000093l	29963	99.0781	99.0781	1337.09
ptg000094l	34306	93.7028	93.7028	2893.01
ptg000095l	36701	151.732	151.732	3886.09
ptg000096l	31270	155.365	155.365	5638.96
ptg000097l	30412	163.626	163.626	3190.99
ptg000098l	29169	72.675	72.675	1799.17
ptg000099l	32708	88.071	88.071	1166.42
ptg000100l	30752	107.274	107.274	1141.37
ptg000101l	30586	115.446	115.446	1435.24
ptg000102l	30780	111.313	111.313	1803.29
ptg000103l	30499	189.276	189.276	5033.13
ptg000104l	31292	106.24	106.24	1340.9
ptg000105l	20807	90.939	90.939	955.073
ptg000106l	37830	194.207	194.207	13817.7
ptg000107l	28831	145.737	145.737	3625.11
ptg000108l	26057	58.4182	58.4182	784.251
ptg000109l	20228	92.7132	92.7132	1526.53
ptg000110l	25312	88.2275	88.2275	1138.37
ptg000111l	23460	97.2464	97.2464	2013.53
ptg000112l	29006	121.736	121.736	3871.35
ptg000113l	25589	111.846	111.846	1641.6
ptg000114l	25737	105.845	105.845	1146.95
ptg000115l	28365	111.33	111.33	6416.18
ptg000116l	19157	91.3365	91.3365	1583.67
ptg000117l	23110	96.6476	96.6476	1412.86
ptg000118l	24618	78.4568	78.4568	916.535
ptg000119l	24144	62.8595	62.8595	467.146
ptg000120l	20102	77.9342	77.9342	920.155
ptg000121l	22336	81.0381	81.0381	722.016
ptg000122l	17576	58.8394	58.8394	551.412
ptg000123l	20618	107.577	107.577	2275.85
ptg000124l	31985	47.0855	47.0855	570.036
ptg000125l	20883	74.7248	74.7248	839.383
ptg000126l	25426	136.997	136.997	2292.84
ptg000127l	24792	87.54	87.54	771.979
ptg000128l	24306	54.6641	54.6641	219.571
ptg000129l	16701	72.4789	72.4789	855.928
ptg000130l	18666	96.0377	96.0377	3425.2
ptg000131l	26593	89.242	89.242	2101.57
ptg000132l	20285	90.3514	90.3514	884.502
ptg000133l	21772	96.5686	96.5686	1350.17
ptg000134l	20722	82.3831	82.3831	974.39
ptg000135l	18918	64.6821	64.6821	563.973
ptg000136l	25814	80.9764	80.9764	619.075
ptg000137l	16492	62.3756	62.3756	647.331
ptg000138l	19246	143.693	143.693	2513.23
ptg000139l	21739	54.0785	54.0785	986.436
ptg000140l	22536	58.3531	58.3531	2985.7
ptg000141l	20168	95.6538	95.6538	1291.57
ptg000142l	18490	52.7184	52.7184	1793.29
ptg000143l	16250	63.186	63.186	1068.59
ptg000144l	15747	37.8083	37.8083	329.958
ptg000145l	19463	64.0182	64.0182	1108.19
ptg000146l	15767	24.0083	24.0083	497.919
ptg000147l	25595	88.4011	88.4011	1773.02
ptg000148l	20539	79.1392	79.1392	1363.45
ptg000149l	14733	46.5842	46.5842	374.983
ptg000150l	18321	69.5218	69.5218	501.729
ptg000151l	19032	39.5438	39.5438	290.595
ptg000152l	19277	54.4373	54.4373	362.844
ptg000153l	17931	75.2226	75.2226	708.545
ptg000154l	16278	77.3983	77.3983	859.159
ptg000155l	18804	59.0402	59.0402	409.566
ptg000156l	19486	81.6448	81.6448	1378.83
ptg000157l	17868	43.2206	43.2206	546.666
ptg000158l	14229	49.8089	49.8089	494.758
ptg000159l	16659	79.2096	79.2096	1005.4
ptg000160l	11899	74.1626	74.1626	1186.69
