Orthogroup	Trebouxia_sp._A48.proteins	GeneID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias.Synonyms	EC_number	BUSCO	PFAM	InterPro	COG	GO.Terms	Protease	CAZyme
OG0004558	GTX0536PRED_009987-T1	GTX0536PRED_009987	mRNA	GTX0536_13	2558203	2563457	-		hypothetical protein	NA	NA				NA			
OG0004558	GTX0536PRED_010086-T1	GTX0536PRED_010086	mRNA	GTX0536_14	164091	167484	-		hypothetical protein	NA	NA				NA			
OG0004558	GTX0536PRED_010126-T1	GTX0536PRED_010126	mRNA	GTX0536_14	394077	397577	+		hypothetical protein	NA	NA				NA			
OG0004558	GTX0536PRED_010131-T1	GTX0536PRED_010131	mRNA	GTX0536_14	413073	418518	-		hypothetical protein	NA	NA				NA			
OG0005353	GTX0536PRED_000789-T1	GTX0536PRED_000789	mRNA	GTX0536_1	4706950	4709820	-		hypothetical protein	NA	NA			IPR036259 MFS transporter superfamily	NA			
OG0005353	GTX0536PRED_011934-T1	GTX0536PRED_011934	mRNA	GTX0536_18	868673	877325	+		hypothetical protein	NA	NA			IPR011701 Major facilitator superfamily;IPR036259 MFS transporter superfamily	NA	GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]		
OG0005353	GTX0536PRED_011934-T2	GTX0536PRED_011934	mRNA	GTX0536_18	868673	877325	+		hypothetical protein	NA	NA			IPR011701 Major facilitator superfamily;IPR036259 MFS transporter superfamily	NA	GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]		
OG0005508	GTX0536PRED_007200-T1	GTX0536PRED_007200	mRNA	GTX0536_9	137354	142500	+		hypothetical protein	NA	NA		PF05139	IPR007815 Erythromycin esterase;IPR014622 Uncharacterised conserved protein UCP036794, erythromycin esterase-type	NA	GO_process: GO:0046677 - response to antibiotic [Evidence IEA]		
OG0006570	GTX0536PRED_001321-T1	GTX0536PRED_001321	mRNA	GTX0536_2	863801	864619	-		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001322-T1	GTX0536PRED_001322	mRNA	GTX0536_2	864656	865912	+		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001323-T1	GTX0536PRED_001323	mRNA	GTX0536_2	866832	870785	-		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001324-T1	GTX0536PRED_001324	mRNA	GTX0536_2	871083	873866	+		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001330-T1	GTX0536PRED_001330	mRNA	GTX0536_2	892906	894972	+		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001331-T1	GTX0536PRED_001331	mRNA	GTX0536_2	895446	896618	+		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001332-T1	GTX0536PRED_001332	mRNA	GTX0536_2	896659	897581	-		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001333-T1	GTX0536PRED_001333	mRNA	GTX0536_2	897766	898190	+		hypothetical protein	NA	NA				NA			
OG0006570	GTX0536PRED_001334-T1	GTX0536PRED_001334	mRNA	GTX0536_2	898429	900772	-		hypothetical protein	NA	NA				NA			
OG0007186	GTX0536PRED_008057-T1	GTX0536PRED_008057	mRNA	GTX0536_10	1514876	1518088	+		hypothetical protein	NA	NA				NA			
OG0007186	GTX0536PRED_009989-T1	GTX0536PRED_009989	mRNA	GTX0536_13	2567688	2569992	-		hypothetical protein	NA	NA				NA			
OG0008021	GTX0536PRED_000071-T1	GTX0536PRED_000071	mRNA	GTX0536_1	389735	391916	-		hypothetical protein	NA	NA				NA			
OG0008021	GTX0536PRED_002199-T1	GTX0536PRED_002199	mRNA	GTX0536_2	5078932	5079925	+		hypothetical protein	NA	NA				NA			
OG0008021	GTX0536PRED_003769-T1	GTX0536PRED_003769	mRNA	GTX0536_4	2586553	2586855	-		hypothetical protein	NA	NA				NA			
OG0008021	GTX0536PRED_006374-T1	GTX0536PRED_006374	mRNA	GTX0536_7	3488907	3489756	+		hypothetical protein	NA	NA				NA			
OG0008021	GTX0536PRED_010987-T1	GTX0536PRED_010987	mRNA	GTX0536_15	2334660	2336408	+		hypothetical protein	NA	NA				NA			
OG0008062	GTX0536PRED_005656-T1	GTX0536PRED_005656	mRNA	GTX0536_6	3865526	3875319	+		hypothetical protein	NA	NA				NA			
