target_id	length	eff_length	est_counts	tpm
GTX0536PRED_000001-T1	3448	3221.93	9	16.9598
GTX0536PRED_000002-T1	2401	2174.93	15	41.8736
GTX0536PRED_000003-T1	2569	2342.93	29	75.1507
GTX0536PRED_000004-T1	4411	4184.93	39	56.581
GTX0536PRED_000005-T1	1071	844.934	0	0
GTX0536PRED_000006-T1	966	739.963	0	0
GTX0536PRED_000007-T1	1876	1649.93	0	0
GTX0536PRED_000008-T1	1378	1151.93	9	47.4362
GTX0536PRED_000009-T1	1655	1428.93	0	0
GTX0536PRED_000010-T1	1264	1037.93	2	11.6992
GTX0536PRED_000011-T1	1332	1105.93	0	0
GTX0536PRED_000012-T1	1041	814.934	0	0
GTX0536PRED_000013-T1	1158	931.934	0	0
GTX0536PRED_000014-T1	486	260.201	0	0
GTX0536PRED_000015-T1	2188	1961.93	5	15.4732
GTX0536PRED_000016-T1	1347	1120.93	6	32.4987
GTX0536PRED_000017-T1	3621	3394.93	5	8.94198
GTX0536PRED_000018-T1	2060	1833.93	36	119.183
GTX0536PRED_000019-T1	2023	1796.93	0	0
GTX0536PRED_000020-T1	4062	3835.93	0	0
GTX0536PRED_000020-T2	2977	2750.93	0	0
GTX0536PRED_000021-T1	3498	3271.93	0	0
GTX0536PRED_000022-T1	1038	811.934	0	0
GTX0536PRED_000022-T2	1051	824.934	3	22.0799
GTX0536PRED_000022-T3	899	672.991	0	0
GTX0536PRED_000023-T1	2398	2171.93	16	44.7269
GTX0536PRED_000024-T1	302	85.9537	0	0
GTX0536PRED_000025-T1	1264	1037.93	3	17.5488
GTX0536PRED_000026-T1	1095	868.934	5	34.9364
GTX0536PRED_000027-T1	339	117.023	0	0
GTX0536PRED_000028-T1	5616	5389.93	0	0
GTX0536PRED_000029-T1	2591	2364.93	0	0
GTX0536PRED_000030-T1	1413	1186.93	14	71.6138
GTX0536PRED_000031-T1	696	470.02	0	0
GTX0536PRED_000032-T1	1778	1551.93	12	46.9465
GTX0536PRED_000033-T1	7630	7403.93	0	0
GTX0536PRED_000034-T1	2862	2635.93	0	0
GTX0536PRED_000035-T1	405	179.816	0	0
GTX0536PRED_000036-T1	417	191.614	0	0
GTX0536PRED_000037-T1	1875	1648.93	0	0
GTX0536PRED_000038-T1	3714	3487.93	0	0
GTX0536PRED_000038-T2	4256	4029.93	0	0
GTX0536PRED_000039-T1	339	117.023	0	0
GTX0536PRED_000040-T1	873	646.991	2	18.7684
GTX0536PRED_000041-T1	336	114.297	0	0
GTX0536PRED_000042-T1	273	64.5343	0	0
GTX0536PRED_000043-T1	510	284.129	0	0
GTX0536PRED_000044-T1	213	36.1587	24	4029.9
GTX0536PRED_000045-T1	495	269.161	77	1736.9
GTX0536PRED_000046-T1	1381	1154.93	50	262.85
GTX0536PRED_000047-T1	1544	1317.93	0	0
GTX0536PRED_000047-T2	1281	1054.93	0	0
GTX0536PRED_000048-T1	8171	7944.93	0	0
GTX0536PRED_000049-T1	666	440.02	0	0
GTX0536PRED_000050-T1	668	442.02	153	2101.57
GTX0536PRED_000051-T1	3192	2965.93	0	0
GTX0536PRED_000052-T1	576	350.07	9	156.093
GTX0536PRED_000053-T1	771	544.991	4	44.5621
GTX0536PRED_000054-T1	2635	2408.93	0	0
GTX0536PRED_000055-T1	911	684.991	15	132.954
