target_id	length	eff_length	est_counts	tpm
GTX0536PRED_000001-T1	3448	3220.8	10	16.2569
GTX0536PRED_000002-T1	2401	2173.8	18	43.3566
GTX0536PRED_000003-T1	2569	2341.8	48	107.323
GTX0536PRED_000004-T1	4411	4183.8	55	68.8325
GTX0536PRED_000005-T1	1071	843.799	0	0
GTX0536PRED_000006-T1	966	738.799	0	0
GTX0536PRED_000007-T1	1876	1648.8	0	0
GTX0536PRED_000008-T1	1378	1150.8	7	31.8493
GTX0536PRED_000009-T1	1655	1427.8	2	7.3344
GTX0536PRED_000010-T1	1264	1036.8	2	10.1004
GTX0536PRED_000011-T1	1332	1104.8	0	0
GTX0536PRED_000012-T1	1041	813.799	0	0
GTX0536PRED_000013-T1	1158	930.799	1	5.6253
GTX0536PRED_000014-T1	486	258.853	0	0
GTX0536PRED_000015-T1	2188	1960.8	3	8.01106
GTX0536PRED_000016-T1	1347	1119.8	1	4.67586
GTX0536PRED_000017-T1	3621	3393.8	17	26.228
GTX0536PRED_000018-T1	2060	1832.8	33	94.2759
GTX0536PRED_000019-T1	2023	1795.8	0	0
GTX0536PRED_000020-T1	4062	3834.8	3	4.09619
GTX0536PRED_000020-T2	2977	2749.8	0	0
GTX0536PRED_000021-T1	3498	3270.8	0	0
GTX0536PRED_000022-T1	1038	810.799	0	0
GTX0536PRED_000022-T2	1051	823.799	9	57.2035
GTX0536PRED_000022-T3	899	671.799	0	0
GTX0536PRED_000023-T1	2398	2170.8	23	55.4766
GTX0536PRED_000024-T1	302	84.2331	0	0
GTX0536PRED_000025-T1	1264	1036.8	1	5.05018
GTX0536PRED_000026-T1	1095	867.799	4	24.1347
GTX0536PRED_000027-T1	339	115.647	0	0
GTX0536PRED_000028-T1	5616	5388.8	0	0
GTX0536PRED_000029-T1	2591	2363.8	0	0
GTX0536PRED_000030-T1	1413	1185.8	5	22.078
GTX0536PRED_000031-T1	696	468.799	0	0
GTX0536PRED_000032-T1	1778	1550.8	9	30.3871
GTX0536PRED_000033-T1	7630	7402.8	6	4.24382
GTX0536PRED_000034-T1	2862	2634.8	0	0
GTX0536PRED_000035-T1	405	178.507	0	0
GTX0536PRED_000036-T1	417	190.306	0	0
GTX0536PRED_000037-T1	1875	1647.8	0	0
GTX0536PRED_000038-T1	3714	3486.8	1	1.50167
GTX0536PRED_000038-T2	4256	4028.8	0	0
GTX0536PRED_000039-T1	339	115.647	0	0
GTX0536PRED_000040-T1	873	645.799	0	0
GTX0536PRED_000041-T1	336	112.978	0	0
GTX0536PRED_000042-T1	273	62.2145	0	0
GTX0536PRED_000043-T1	510	282.853	0	0
